block_group,B19051_000E,B19051_002E,B19051_003E,B19052_002E,B19052_003E,B19053_002E,B19053_003E,B19054_002E,B19054_003E,B19055_002E,B19055_003E,B19056_002E,B19056_003E,B19057_002E,B19057_003E,B19058_002E,B19058_003E,B19059_002E,B19059_003E,B19060_002E,B19060_003E
480291208001,275.0,195.0,80.0,179.0,96.0,61.0,214.0,164.0,111.0,144.0,131.0,0.0,275.0,0.0,275.0,0.0,275.0,66.0,209.0,52.0,223.0
480291208002,490.0,272.0,218.0,272.0,218.0,66.0,424.0,183.0,307.0,244.0,246.0,0.0,490.0,0.0,490.0,0.0,490.0,143.0,347.0,51.0,439.0
480291208005,262.0,222.0,40.0,222.0,40.0,36.0,226.0,121.0,141.0,65.0,197.0,0.0,262.0,0.0,262.0,0.0,262.0,48.0,214.0,31.0,231.0
480291208007,318.0,290.0,28.0,262.0,56.0,120.0,198.0,105.0,213.0,99.0,219.0,0.0,318.0,0.0,318.0,10.0,308.0,14.0,304.0,26.0,292.0
480291208003,602.0,421.0,181.0,408.0,194.0,92.0,510.0,230.0,372.0,141.0,461.0,0.0,602.0,0.0,602.0,0.0,602.0,132.0,470.0,69.0,533.0
480291211113,521.0,475.0,46.0,475.0,46.0,83.0,438.0,34.0,487.0,74.0,447.0,19.0,502.0,75.0,446.0,94.0,427.0,69.0,452.0,36.0,485.0
480291211111,397.0,377.0,20.0,344.0,53.0,107.0,290.0,68.0,329.0,135.0,262.0,23.0,374.0,0.0,397.0,12.0,385.0,85.0,312.0,94.0,303.0
480291211112,727.0,602.0,125.0,602.0,125.0,162.0,565.0,177.0,550.0,180.0,547.0,40.0,687.0,0.0,727.0,0.0,727.0,177.0,550.0,52.0,675.0
480291211114,688.0,569.0,119.0,569.0,119.0,6.0,682.0,85.0,603.0,221.0,467.0,125.0,563.0,28.0,660.0,64.0,624.0,75.0,613.0,57.0,631.0
480291211161,763.0,704.0,59.0,653.0,110.0,67.0,696.0,57.0,706.0,91.0,672.0,0.0,763.0,17.0,746.0,122.0,641.0,44.0,719.0,275.0,488.0
480291211164,685.0,531.0,154.0,489.0,196.0,70.0,615.0,135.0,550.0,258.0,427.0,36.0,649.0,0.0,685.0,27.0,658.0,183.0,502.0,98.0,587.0
480291211162,230.0,121.0,109.0,106.0,124.0,27.0,203.0,104.0,126.0,115.0,115.0,0.0,230.0,0.0,230.0,0.0,230.0,52.0,178.0,26.0,204.0
480291211181,626.0,519.0,107.0,519.0,107.0,147.0,479.0,172.0,454.0,171.0,455.0,28.0,598.0,0.0,626.0,0.0,626.0,215.0,411.0,136.0,490.0
480291211182,1072.0,1046.0,26.0,1046.0,26.0,67.0,1005.0,9.0,1063.0,61.0,1011.0,0.0,1072.0,0.0,1072.0,93.0,979.0,26.0,1046.0,89.0,983.0
