block_group,household_pub_assist,count_household_pub_assist
480291407003,house_pub_assist_yes,18.0
480291407001,house_pub_assist_yes,0.0
480291407004,house_pub_assist_yes,0.0
480291407005,house_pub_assist_yes,0.0
480291413001,house_pub_assist_yes,24.0
480291413003,house_pub_assist_yes,52.0
480291702003,house_pub_assist_yes,0.0
480291806023,house_pub_assist_yes,0.0
480291806021,house_pub_assist_yes,0.0
480291911021,house_pub_assist_yes,0.0
480291911022,house_pub_assist_yes,9.0
480291911023,house_pub_assist_yes,0.0
480291209012,house_pub_assist_yes,8.0
480291209011,house_pub_assist_yes,0.0
480291211122,house_pub_assist_yes,9.0
480291519001,house_pub_assist_yes,18.0
480291409002,house_pub_assist_yes,0.0
480291417001,house_pub_assist_yes,11.0
480291417002,house_pub_assist_yes,20.0
480291505012,house_pub_assist_yes,0.0
480291505014,house_pub_assist_yes,0.0
480291604002,house_pub_assist_yes,15.0
480291604004,house_pub_assist_yes,8.0
480291604001,house_pub_assist_yes,0.0
480291604003,house_pub_assist_yes,8.0
480291611005,house_pub_assist_yes,0.0
480291611006,house_pub_assist_yes,0.0
480291611001,house_pub_assist_yes,31.0
480291611004,house_pub_assist_yes,0.0
480291611003,house_pub_assist_yes,0.0
480291611002,house_pub_assist_yes,0.0
480291813012,house_pub_assist_yes,0.0
480291813011,house_pub_assist_yes,0.0
480291814021,house_pub_assist_yes,12.0
480291814022,house_pub_assist_yes,0.0
480291109001,house_pub_assist_yes,8.0
480291110003,house_pub_assist_yes,0.0
480291110002,house_pub_assist_yes,27.0
480291204001,house_pub_assist_yes,0.0
480291204005,house_pub_assist_yes,0.0
480291710004,house_pub_assist_yes,0.0
480291204003,house_pub_assist_yes,0.0
480291207021,house_pub_assist_yes,0.0
480291704014,house_pub_assist_yes,0.0
480291710001,house_pub_assist_yes,7.0
480291710002,house_pub_assist_yes,0.0
480291717001,house_pub_assist_yes,0.0
480291717003,house_pub_assist_yes,0.0
480291215013,house_pub_assist_yes,37.0
480291215011,house_pub_assist_yes,0.0
480291215074,house_pub_assist_yes,40.0
480291215071,house_pub_assist_yes,22.0
480291215072,house_pub_assist_yes,0.0
480291312002,house_pub_assist_yes,15.0
480291401002,house_pub_assist_yes,0.0
480291401001,house_pub_assist_yes,12.0
480291404004,house_pub_assist_yes,18.0
480291101002,house_pub_assist_yes,0.0
480291209022,house_pub_assist_yes,0.0
480291209021,house_pub_assist_yes,17.0
480291214033,house_pub_assist_yes,0.0
480291214031,house_pub_assist_yes,0.0
480291216042,house_pub_assist_yes,0.0
480291216043,house_pub_assist_yes,0.0
480291306004,house_pub_assist_yes,24.0
480291207022,house_pub_assist_yes,0.0
480291213003,house_pub_assist_yes,0.0
480291213001,house_pub_assist_yes,23.0
480291703004,house_pub_assist_yes,0.0
480291703002,house_pub_assist_yes,0.0
480291703006,house_pub_assist_yes,0.0
480291703005,house_pub_assist_yes,21.0
480291703003,house_pub_assist_yes,4.0
480291704024,house_pub_assist_yes,0.0
480291704021,house_pub_assist_yes,9.0
