block_group,leave_time,count_leave_time
480291204001,time_leave_to_work_00_05,0.0
480291204005,time_leave_to_work_00_05,0.0
480291710004,time_leave_to_work_00_05,88.0
480291204003,time_leave_to_work_00_05,0.0
480291207021,time_leave_to_work_00_05,55.0
480291704014,time_leave_to_work_00_05,22.0
480291710001,time_leave_to_work_00_05,0.0
480291710002,time_leave_to_work_00_05,17.0
480291717001,time_leave_to_work_00_05,20.0
480291717003,time_leave_to_work_00_05,53.0
480291215013,time_leave_to_work_00_05,80.0
480291215011,time_leave_to_work_00_05,19.0
480291215074,time_leave_to_work_00_05,37.0
480291215071,time_leave_to_work_00_05,49.0
480291215072,time_leave_to_work_00_05,9.0
480291312002,time_leave_to_work_00_05,48.0
480291401002,time_leave_to_work_00_05,15.0
480291401001,time_leave_to_work_00_05,14.0
480291404004,time_leave_to_work_00_05,0.0
480291101002,time_leave_to_work_00_05,17.0
480291209022,time_leave_to_work_00_05,0.0
480291209021,time_leave_to_work_00_05,93.0
480291214033,time_leave_to_work_00_05,85.0
480291214031,time_leave_to_work_00_05,69.0
480291216042,time_leave_to_work_00_05,50.0
480291216043,time_leave_to_work_00_05,31.0
480291306004,time_leave_to_work_00_05,28.0
480291207022,time_leave_to_work_00_05,46.0
480291213003,time_leave_to_work_00_05,39.0
480291213001,time_leave_to_work_00_05,0.0
480291703004,time_leave_to_work_00_05,9.0
480291703002,time_leave_to_work_00_05,0.0
480291703006,time_leave_to_work_00_05,0.0
480291703005,time_leave_to_work_00_05,26.0
480291703003,time_leave_to_work_00_05,0.0
480291704024,time_leave_to_work_00_05,0.0
480291704021,time_leave_to_work_00_05,47.0
480291706001,time_leave_to_work_00_05,0.0
480291706004,time_leave_to_work_00_05,22.0
480291706003,time_leave_to_work_00_05,97.0
480291707003,time_leave_to_work_00_05,10.0
480291707002,time_leave_to_work_00_05,12.0
480291212044,time_leave_to_work_00_05,39.0
480291212043,time_leave_to_work_00_05,71.0
480291404001,time_leave_to_work_00_05,13.0
480291404002,time_leave_to_work_00_05,6.0
480291504003,time_leave_to_work_00_05,82.0
480291215052,time_leave_to_work_00_05,0.0
480291403002,time_leave_to_work_00_05,22.0
480291403003,time_leave_to_work_00_05,84.0
480291520001,time_leave_to_work_00_05,95.0
