block_group,household_wage_sal,count_household_wage_sal
480291215072,house_wage_sal_yes,312.0
480291312002,house_wage_sal_yes,360.0
480291401002,house_wage_sal_yes,174.0
480291401001,house_wage_sal_yes,198.0
480291404004,house_wage_sal_yes,108.0
480291101002,house_wage_sal_yes,340.0
480291209022,house_wage_sal_yes,581.0
480291209021,house_wage_sal_yes,825.0
480291214033,house_wage_sal_yes,653.0
480291214031,house_wage_sal_yes,508.0
480291216042,house_wage_sal_yes,265.0
480291216043,house_wage_sal_yes,268.0
480291306004,house_wage_sal_yes,220.0
480291207022,house_wage_sal_yes,205.0
480291213003,house_wage_sal_yes,153.0
480291213001,house_wage_sal_yes,783.0
480291703004,house_wage_sal_yes,133.0
480291703002,house_wage_sal_yes,59.0
480291703006,house_wage_sal_yes,172.0
480291703005,house_wage_sal_yes,291.0
480291703003,house_wage_sal_yes,139.0
480291704024,house_wage_sal_yes,130.0
480291704021,house_wage_sal_yes,406.0
480291706001,house_wage_sal_yes,263.0
480291706004,house_wage_sal_yes,287.0
480291706003,house_wage_sal_yes,278.0
480291707003,house_wage_sal_yes,389.0
480291707002,house_wage_sal_yes,222.0
480291212044,house_wage_sal_yes,414.0
480291212043,house_wage_sal_yes,444.0
480291404001,house_wage_sal_yes,211.0
480291404002,house_wage_sal_yes,321.0
480291504003,house_wage_sal_yes,624.0
480291215052,house_wage_sal_yes,133.0
480291403002,house_wage_sal_yes,243.0
480291403003,house_wage_sal_yes,258.0
480291520001,house_wage_sal_yes,636.0
480291701011,house_wage_sal_yes,158.0
480291701012,house_wage_sal_yes,356.0
480291718022,house_wage_sal_yes,281.0
480291718025,house_wage_sal_yes,149.0
480291718023,house_wage_sal_yes,339.0
480291408004,house_wage_sal_yes,170.0
480291408001,house_wage_sal_yes,328.0
480291408005,house_wage_sal_yes,280.0
480291408003,house_wage_sal_yes,153.0
480291408002,house_wage_sal_yes,325.0
480291505023,house_wage_sal_yes,207.0
480291505022,house_wage_sal_yes,270.0
480291505021,house_wage_sal_yes,235.0
480291507006,house_wage_sal_yes,67.0
480291507001,house_wage_sal_yes,184.0
480291507003,house_wage_sal_yes,252.0
480291601004,house_wage_sal_yes,503.0
480291601003,house_wage_sal_yes,281.0
480291601001,house_wage_sal_yes,273.0
480291813023,house_wage_sal_yes,569.0
480291809021,house_wage_sal_yes,263.0
480291809023,house_wage_sal_yes,323.0
480291809022,house_wage_sal_yes,401.0
480291809025,house_wage_sal_yes,450.0
480291810031,house_wage_sal_yes,707.0
480291810051,house_wage_sal_yes,593.0
480291810052,house_wage_sal_yes,228.0
480291815061,house_wage_sal_yes,174.0
480291815062,house_wage_sal_yes,312.0
480291817151,house_wage_sal_yes,322.0
480291203002,house_wage_sal_yes,251.0
480291203003,house_wage_sal_yes,494.0
480291203005,house_wage_sal_yes,261.0
480291205013,house_wage_sal_yes,314.0
480291205015,house_wage_sal_yes,284.0
480291205012,house_wage_sal_yes,464.0
480291205014,house_wage_sal_yes,356.0
480291211152,house_wage_sal_yes,684.0
480291211153,house_wage_sal_yes,478.0
480291211172,house_wage_sal_yes,393.0
480291211171,house_wage_sal_yes,610.0
480291720021,house_wage_sal_yes,1255.0
480291817031,house_wage_sal_yes,982.0
480291817032,house_wage_sal_yes,597.0
480291803003,house_wage_sal_yes,228.0
480291803001,house_wage_sal_yes,264.0
480291803002,house_wage_sal_yes,349.0
480291817161,house_wage_sal_yes,832.0
480291910034,house_wage_sal_yes,245.0
480291910035,house_wage_sal_yes,204.0
480291910033,house_wage_sal_yes,236.0
480291910031,house_wage_sal_yes,200.0
480291910032,house_wage_sal_yes,1263.0
480291214041,house_wage_sal_yes,417.0
480291214042,house_wage_sal_yes,421.0
480291214043,house_wage_sal_yes,336.0
480291313001,house_wage_sal_yes,299.0
480291313004,house_wage_sal_yes,178.0
480291316061,house_wage_sal_yes,606.0
480291103003,house_wage_sal_yes,146.0
480291103002,house_wage_sal_yes,319.0
480291201001,house_wage_sal_yes,902.0
480291206002,house_wage_sal_yes,320.0
480291206003,house_wage_sal_yes,366.0
480291206006,house_wage_sal_yes,156.0
480291206005,house_wage_sal_yes,314.0
480291517003,house_wage_sal_yes,314.0
480291517002,house_wage_sal_yes,327.0
480291517001,house_wage_sal_yes,397.0
480291607013,house_wage_sal_yes,185.0
480291306001,house_wage_sal_yes,206.0
480291306003,house_wage_sal_yes,236.0
480291306002,house_wage_sal_yes,172.0
480291402003,house_wage_sal_yes,156.0
480291402002,house_wage_sal_yes,154.0
480291402001,house_wage_sal_yes,156.0
480291402004,house_wage_sal_yes,166.0
480291309001,house_wage_sal_yes,601.0
480291717004,house_wage_sal_yes,314.0
480291719035,house_wage_sal_yes,269.0
480291717006,house_wage_sal_yes,253.0
480291719032,house_wage_sal_yes,239.0
480291719034,house_wage_sal_yes,189.0
480291509002,house_wage_sal_yes,143.0
480291509001,house_wage_sal_yes,326.0
480291509005,house_wage_sal_yes,340.0
480291705003,house_wage_sal_yes,267.0
480291705004,house_wage_sal_yes,226.0
480291705002,house_wage_sal_yes,372.0
480291805042,house_wage_sal_yes,513.0
480291205025,house_wage_sal_yes,268.0
480291205023,house_wage_sal_yes,164.0
480291205026,house_wage_sal_yes,204.0
480291205024,house_wage_sal_yes,146.0
480291207012,house_wage_sal_yes,255.0
480291207011,house_wage_sal_yes,276.0
480291302002,house_wage_sal_yes,133.0
480291410003,house_wage_sal_yes,388.0
480291410002,house_wage_sal_yes,403.0
480291516001,house_wage_sal_yes,657.0
