block_group,commute_time,count_commute_time
480291710002,commute_time_tot_00_14,8.0
480291717001,commute_time_tot_00_14,299.0
480291717003,commute_time_tot_00_14,115.0
480291215013,commute_time_tot_00_14,320.0
480291215011,commute_time_tot_00_14,156.0
480291215074,commute_time_tot_00_14,241.0
480291215071,commute_time_tot_00_14,11.0
480291215072,commute_time_tot_00_14,41.0
480291312002,commute_time_tot_00_14,173.0
480291401002,commute_time_tot_00_14,49.0
480291401001,commute_time_tot_00_14,82.0
480291404004,commute_time_tot_00_14,31.0
480291101002,commute_time_tot_00_14,116.0
480291209022,commute_time_tot_00_14,214.0
480291209021,commute_time_tot_00_14,333.0
480291214033,commute_time_tot_00_14,275.0
480291214031,commute_time_tot_00_14,268.0
480291216042,commute_time_tot_00_14,71.0
480291216043,commute_time_tot_00_14,71.0
480291306004,commute_time_tot_00_14,64.0
480291207022,commute_time_tot_00_14,54.0
480291213003,commute_time_tot_00_14,11.0
480291213001,commute_time_tot_00_14,379.0
480291703004,commute_time_tot_00_14,78.0
480291703002,commute_time_tot_00_14,8.0
480291703006,commute_time_tot_00_14,98.0
480291703005,commute_time_tot_00_14,121.0
480291703003,commute_time_tot_00_14,79.0
480291704024,commute_time_tot_00_14,44.0
480291704021,commute_time_tot_00_14,259.0
480291706001,commute_time_tot_00_14,306.0
480291706004,commute_time_tot_00_14,142.0
480291706003,commute_time_tot_00_14,86.0
480291707003,commute_time_tot_00_14,108.0
480291707002,commute_time_tot_00_14,105.0
480291212044,commute_time_tot_00_14,291.0
480291212043,commute_time_tot_00_14,59.0
480291404001,commute_time_tot_00_14,60.0
480291404002,commute_time_tot_00_14,218.0
480291504003,commute_time_tot_00_14,248.0
480291215052,commute_time_tot_00_14,50.0
480291403002,commute_time_tot_00_14,101.0
480291403003,commute_time_tot_00_14,152.0
480291520001,commute_time_tot_00_14,177.0
480291701011,commute_time_tot_00_14,101.0
480291701012,commute_time_tot_00_14,158.0
480291718022,commute_time_tot_00_14,136.0
480291718025,commute_time_tot_00_14,125.0
480291718023,commute_time_tot_00_14,118.0
480291408004,commute_time_tot_00_14,31.0
480291408001,commute_time_tot_00_14,150.0
480291408005,commute_time_tot_00_14,301.0
480291408003,commute_time_tot_00_14,41.0
480291408002,commute_time_tot_00_14,63.0
480291505023,commute_time_tot_00_14,94.0
480291505022,commute_time_tot_00_14,205.0
480291505021,commute_time_tot_00_14,73.0
480291507006,commute_time_tot_00_14,9.0
480291507001,commute_time_tot_00_14,102.0
480291507003,commute_time_tot_00_14,35.0
480291601004,commute_time_tot_00_14,221.0
480291601003,commute_time_tot_00_14,124.0
480291601001,commute_time_tot_00_14,158.0
480291813023,commute_time_tot_00_14,399.0
480291809021,commute_time_tot_00_14,76.0
480291809023,commute_time_tot_00_14,99.0
480291809022,commute_time_tot_00_14,0.0
480291809025,commute_time_tot_00_14,359.0
480291810031,commute_time_tot_00_14,251.0
480291810051,commute_time_tot_00_14,176.0
480291810052,commute_time_tot_00_14,123.0
480291815061,commute_time_tot_00_14,27.0
480291815062,commute_time_tot_00_14,115.0
480291817151,commute_time_tot_00_14,109.0
480291203002,commute_time_tot_00_14,76.0
480291203003,commute_time_tot_00_14,264.0
480291203005,commute_time_tot_00_14,254.0
480291205013,commute_time_tot_00_14,203.0
480291205015,commute_time_tot_00_14,144.0
480291205012,commute_time_tot_00_14,383.0
480291205014,commute_time_tot_00_14,111.0
480291211152,commute_time_tot_00_14,260.0
480291211153,commute_time_tot_00_14,161.0
480291211172,commute_time_tot_00_14,196.0
480291211171,commute_time_tot_00_14,198.0
480291720021,commute_time_tot_00_14,331.0
480291817031,commute_time_tot_00_14,128.0
480291817032,commute_time_tot_00_14,372.0
480291803003,commute_time_tot_00_14,53.0
480291803001,commute_time_tot_00_14,157.0
480291803002,commute_time_tot_00_14,117.0
480291817161,commute_time_tot_00_14,344.0
480291910034,commute_time_tot_00_14,62.0
480291910035,commute_time_tot_00_14,15.0
480291910033,commute_time_tot_00_14,61.0
480291910031,commute_time_tot_00_14,24.0
480291910032,commute_time_tot_00_14,406.0
480291214041,commute_time_tot_00_14,274.0
480291214042,commute_time_tot_00_14,122.0
480291214043,commute_time_tot_00_14,49.0
480291313001,commute_time_tot_00_14,6.0
480291313004,commute_time_tot_00_14,14.0
480291316061,commute_time_tot_00_14,126.0
480291103003,commute_time_tot_00_14,37.0
480291103002,commute_time_tot_00_14,175.0
480291201001,commute_time_tot_00_14,1490.0
480291206002,commute_time_tot_00_14,13.0
480291206003,commute_time_tot_00_14,144.0
480291206006,commute_time_tot_00_14,56.0
480291206005,commute_time_tot_00_14,188.0
480291517003,commute_time_tot_00_14,224.0
480291517002,commute_time_tot_00_14,155.0
480291517001,commute_time_tot_00_14,378.0
480291607013,commute_time_tot_00_14,103.0
480291306001,commute_time_tot_00_14,104.0
480291306003,commute_time_tot_00_14,91.0
480291306002,commute_time_tot_00_14,40.0
480291402003,commute_time_tot_00_14,40.0
480291402002,commute_time_tot_00_14,81.0
480291402001,commute_time_tot_00_14,99.0
480291402004,commute_time_tot_00_14,118.0
480291309001,commute_time_tot_00_14,302.0
480291717004,commute_time_tot_00_14,106.0
480291719035,commute_time_tot_00_14,319.0
480291717006,commute_time_tot_00_14,198.0
480291719032,commute_time_tot_00_14,68.0
480291719034,commute_time_tot_00_14,116.0
480291509002,commute_time_tot_00_14,86.0
480291509001,commute_time_tot_00_14,207.0
480291509005,commute_time_tot_00_14,385.0
480291705003,commute_time_tot_00_14,125.0
480291705004,commute_time_tot_00_14,76.0
480291705002,commute_time_tot_00_14,224.0
480291805042,commute_time_tot_00_14,144.0
480291205025,commute_time_tot_00_14,65.0
480291205023,commute_time_tot_00_14,79.0
480291205026,commute_time_tot_00_14,146.0
480291205024,commute_time_tot_00_14,132.0
480291207012,commute_time_tot_00_14,101.0
480291207011,commute_time_tot_00_14,242.0
480291302002,commute_time_tot_00_14,34.0
480291410003,commute_time_tot_00_14,162.0
480291410002,commute_time_tot_00_14,65.0
480291516001,commute_time_tot_00_14,155.0
480291516004,commute_time_tot_00_14,111.0
480291516002,commute_time_tot_00_14,89.0
480291817051,commute_time_tot_00_14,127.0
480291817052,commute_time_tot_00_14,157.0
480291512002,commute_time_tot_00_14,476.0
480291606001,commute_time_tot_00_14,35.0
480291606003,commute_time_tot_00_14,154.0
480291419003,commute_time_tot_00_14,55.0
480291419002,commute_time_tot_00_14,65.0
480291515003,commute_time_tot_00_14,111.0
480291515002,commute_time_tot_00_14,98.0
480291603003,commute_time_tot_00_14,19.0
480291603002,commute_time_tot_00_14,77.0
480291603005,commute_time_tot_00_14,56.0
480291612001,commute_time_tot_00_14,72.0
480291612002,commute_time_tot_00_14,143.0
480291804003,commute_time_tot_00_14,57.0
480291804001,commute_time_tot_00_14,190.0
480291807012,commute_time_tot_00_14,474.0
480291811004,commute_time_tot_00_14,204.0
480291811002,commute_time_tot_00_14,206.0
480291811003,commute_time_tot_00_14,363.0
480291909015,commute_time_tot_00_14,241.0
480291909013,commute_time_tot_00_14,0.0
