block_group,f_biz_type,f_count_biz_type
480291214031,workers_f_for_profit,352.0
480291216042,workers_f_for_profit,190.0
480291216043,workers_f_for_profit,180.0
480291306004,workers_f_for_profit,75.0
480291207022,workers_f_for_profit,216.0
480291213003,workers_f_for_profit,74.0
480291213001,workers_f_for_profit,558.0
480291703004,workers_f_for_profit,102.0
480291703002,workers_f_for_profit,35.0
480291703006,workers_f_for_profit,162.0
480291703005,workers_f_for_profit,183.0
480291703003,workers_f_for_profit,126.0
480291704024,workers_f_for_profit,98.0
480291704021,workers_f_for_profit,283.0
480291706001,workers_f_for_profit,178.0
480291706004,workers_f_for_profit,222.0
480291706003,workers_f_for_profit,204.0
480291707003,workers_f_for_profit,272.0
480291707002,workers_f_for_profit,163.0
480291212044,workers_f_for_profit,155.0
480291212043,workers_f_for_profit,188.0
480291404001,workers_f_for_profit,134.0
480291404002,workers_f_for_profit,136.0
480291504003,workers_f_for_profit,455.0
480291215052,workers_f_for_profit,120.0
480291403002,workers_f_for_profit,132.0
480291403003,workers_f_for_profit,237.0
480291520001,workers_f_for_profit,379.0
480291701011,workers_f_for_profit,41.0
480291701012,workers_f_for_profit,204.0
480291718022,workers_f_for_profit,145.0
480291718025,workers_f_for_profit,200.0
480291718023,workers_f_for_profit,219.0
480291408004,workers_f_for_profit,95.0
480291408001,workers_f_for_profit,298.0
480291408005,workers_f_for_profit,351.0
480291408003,workers_f_for_profit,134.0
480291408002,workers_f_for_profit,184.0
480291505023,workers_f_for_profit,154.0
480291505022,workers_f_for_profit,161.0
480291505021,workers_f_for_profit,114.0
480291507006,workers_f_for_profit,48.0
480291507001,workers_f_for_profit,100.0
480291507003,workers_f_for_profit,371.0
480291601004,workers_f_for_profit,195.0
480291601003,workers_f_for_profit,104.0
480291601001,workers_f_for_profit,171.0
480291813023,workers_f_for_profit,395.0
480291809021,workers_f_for_profit,138.0
480291809023,workers_f_for_profit,308.0
480291809022,workers_f_for_profit,399.0
480291809025,workers_f_for_profit,457.0
480291810031,workers_f_for_profit,360.0
480291810051,workers_f_for_profit,326.0
480291810052,workers_f_for_profit,126.0
480291815061,workers_f_for_profit,99.0
480291815062,workers_f_for_profit,174.0
480291817151,workers_f_for_profit,179.0
480291203002,workers_f_for_profit,138.0
480291203003,workers_f_for_profit,253.0
480291203005,workers_f_for_profit,146.0
480291205013,workers_f_for_profit,317.0
480291205015,workers_f_for_profit,168.0
480291205012,workers_f_for_profit,171.0
480291205014,workers_f_for_profit,120.0
480291211152,workers_f_for_profit,494.0
480291211153,workers_f_for_profit,212.0
480291211172,workers_f_for_profit,297.0
480291211171,workers_f_for_profit,255.0
480291720021,workers_f_for_profit,686.0
480291817031,workers_f_for_profit,442.0
480291817032,workers_f_for_profit,469.0
480291803003,workers_f_for_profit,126.0
480291803001,workers_f_for_profit,140.0
480291803002,workers_f_for_profit,295.0
480291817161,workers_f_for_profit,671.0
480291910034,workers_f_for_profit,51.0
480291910035,workers_f_for_profit,135.0
480291910033,workers_f_for_profit,92.0
480291910031,workers_f_for_profit,165.0
480291910032,workers_f_for_profit,528.0
480291214041,workers_f_for_profit,286.0
