block_group,household_self_emp,count_household_self_emp
480291106002,house_self_emp_yes,48.0
480291504001,house_self_emp_yes,34.0
480291504002,house_self_emp_yes,19.0
480291510001,house_self_emp_yes,89.0
480291521002,house_self_emp_yes,67.0
480291521001,house_self_emp_yes,6.0
480291607024,house_self_emp_yes,20.0
480291607023,house_self_emp_yes,62.0
480291616002,house_self_emp_yes,28.0
480291616001,house_self_emp_yes,53.0
480291216012,house_self_emp_yes,30.0
480291216013,house_self_emp_yes,16.0
480291216014,house_self_emp_yes,33.0
480291218021,house_self_emp_yes,42.0
480291218023,house_self_emp_yes,145.0
480291303002,house_self_emp_yes,0.0
480291303001,house_self_emp_yes,56.0
480291307002,house_self_emp_yes,42.0
480291307001,house_self_emp_yes,61.0
480291702004,house_self_emp_yes,13.0
480291702006,house_self_emp_yes,29.0
480291702002,house_self_emp_yes,0.0
480291702005,house_self_emp_yes,0.0
480291702001,house_self_emp_yes,40.0
480291316011,house_self_emp_yes,48.0
480291317001,house_self_emp_yes,14.0
480291412004,house_self_emp_yes,25.0
480291412001,house_self_emp_yes,32.0
480291412005,house_self_emp_yes,0.0
480291412002,house_self_emp_yes,54.0
480291501003,house_self_emp_yes,18.0
480291309002,house_self_emp_yes,16.0
480291309003,house_self_emp_yes,30.0
480291310003,house_self_emp_yes,34.0
480291310004,house_self_emp_yes,27.0
480291310001,house_self_emp_yes,70.0
480291310002,house_self_emp_yes,41.0
480291405003,house_self_emp_yes,39.0
480291405002,house_self_emp_yes,20.0
480291405001,house_self_emp_yes,56.0
480291405004,house_self_emp_yes,19.0
480291406002,house_self_emp_yes,21.0
480291406001,house_self_emp_yes,36.0
480291407003,house_self_emp_yes,11.0
480291407001,house_self_emp_yes,0.0
480291407004,house_self_emp_yes,0.0
480291407005,house_self_emp_yes,0.0
480291413001,house_self_emp_yes,23.0
480291413003,house_self_emp_yes,32.0
480291702003,house_self_emp_yes,7.0
480291806023,house_self_emp_yes,32.0
480291806021,house_self_emp_yes,22.0
480291911021,house_self_emp_yes,39.0
480291911022,house_self_emp_yes,14.0
480291911023,house_self_emp_yes,57.0
480291209012,house_self_emp_yes,94.0
480291209011,house_self_emp_yes,101.0
480291211122,house_self_emp_yes,111.0
480291519001,house_self_emp_yes,35.0
480291409002,house_self_emp_yes,9.0
480291417001,house_self_emp_yes,35.0
480291417002,house_self_emp_yes,63.0
480291505012,house_self_emp_yes,65.0
480291505014,house_self_emp_yes,113.0
480291604002,house_self_emp_yes,6.0
480291604004,house_self_emp_yes,18.0
480291604001,house_self_emp_yes,0.0
480291604003,house_self_emp_yes,22.0
480291611005,house_self_emp_yes,0.0
480291611006,house_self_emp_yes,0.0
480291611001,house_self_emp_yes,92.0
480291611004,house_self_emp_yes,56.0
480291611003,house_self_emp_yes,0.0
480291611002,house_self_emp_yes,0.0
480291813012,house_self_emp_yes,38.0
480291813011,house_self_emp_yes,147.0
480291814021,house_self_emp_yes,36.0
480291814022,house_self_emp_yes,25.0
480291109001,house_self_emp_yes,108.0
480291110003,house_self_emp_yes,35.0
480291110002,house_self_emp_yes,8.0
480291204001,house_self_emp_yes,128.0
480291204005,house_self_emp_yes,111.0
480291710004,house_self_emp_yes,15.0
480291204003,house_self_emp_yes,103.0
480291207021,house_self_emp_yes,210.0
480291704014,house_self_emp_yes,8.0
480291710001,house_self_emp_yes,31.0
480291710002,house_self_emp_yes,8.0
480291717001,house_self_emp_yes,30.0
480291717003,house_self_emp_yes,45.0
480291215013,house_self_emp_yes,52.0
480291215011,house_self_emp_yes,83.0
480291215074,house_self_emp_yes,55.0
480291215071,house_self_emp_yes,16.0
480291215072,house_self_emp_yes,33.0
480291312002,house_self_emp_yes,61.0
480291401002,house_self_emp_yes,13.0
480291401001,house_self_emp_yes,19.0
480291404004,house_self_emp_yes,44.0
480291101002,house_self_emp_yes,43.0
480291209022,house_self_emp_yes,78.0
480291209021,house_self_emp_yes,66.0
480291214033,house_self_emp_yes,7.0
480291214031,house_self_emp_yes,146.0
480291216042,house_self_emp_yes,50.0
480291216043,house_self_emp_yes,43.0
480291306004,house_self_emp_yes,28.0
480291207022,house_self_emp_yes,14.0
480291213003,house_self_emp_yes,14.0
480291213001,house_self_emp_yes,104.0
480291703004,house_self_emp_yes,26.0
480291703002,house_self_emp_yes,20.0
480291703006,house_self_emp_yes,23.0
480291703005,house_self_emp_yes,18.0
480291703003,house_self_emp_yes,7.0
480291704024,house_self_emp_yes,0.0
480291704021,house_self_emp_yes,38.0
480291706001,house_self_emp_yes,13.0
480291706004,house_self_emp_yes,14.0
480291706003,house_self_emp_yes,18.0
480291707003,house_self_emp_yes,128.0
480291707002,house_self_emp_yes,38.0
480291212044,house_self_emp_yes,42.0
480291212043,house_self_emp_yes,43.0
480291404001,house_self_emp_yes,58.0
480291404002,house_self_emp_yes,42.0
480291504003,house_self_emp_yes,118.0
480291215052,house_self_emp_yes,35.0
480291403002,house_self_emp_yes,5.0
480291403003,house_self_emp_yes,29.0
480291520001,house_self_emp_yes,96.0
480291701011,house_self_emp_yes,20.0
480291701012,house_self_emp_yes,76.0
480291718022,house_self_emp_yes,41.0
480291718025,house_self_emp_yes,15.0
480291718023,house_self_emp_yes,0.0
480291408004,house_self_emp_yes,6.0
480291408001,house_self_emp_yes,52.0
480291408005,house_self_emp_yes,7.0
480291408003,house_self_emp_yes,12.0
480291408002,house_self_emp_yes,42.0
480291505023,house_self_emp_yes,0.0
480291505022,house_self_emp_yes,59.0
480291505021,house_self_emp_yes,23.0
480291507006,house_self_emp_yes,22.0
480291507001,house_self_emp_yes,87.0
480291507003,house_self_emp_yes,90.0
480291601004,house_self_emp_yes,66.0
480291601003,house_self_emp_yes,9.0
480291601001,house_self_emp_yes,7.0
480291813023,house_self_emp_yes,77.0
480291809021,house_self_emp_yes,32.0
480291809023,house_self_emp_yes,126.0
480291809022,house_self_emp_yes,34.0
480291809025,house_self_emp_yes,102.0
480291810031,house_self_emp_yes,90.0
480291810051,house_self_emp_yes,53.0
480291810052,house_self_emp_yes,14.0
480291815061,house_self_emp_yes,38.0
480291815062,house_self_emp_yes,37.0
480291817151,house_self_emp_yes,111.0
480291203002,house_self_emp_yes,25.0
480291203003,house_self_emp_yes,92.0
480291203005,house_self_emp_yes,76.0
480291205013,house_self_emp_yes,31.0
480291205015,house_self_emp_yes,49.0
480291205012,house_self_emp_yes,25.0
480291205014,house_self_emp_yes,44.0
480291211152,house_self_emp_yes,196.0
480291211153,house_self_emp_yes,91.0
480291211172,house_self_emp_yes,45.0
480291211171,house_self_emp_yes,73.0
480291720021,house_self_emp_yes,221.0
480291817031,house_self_emp_yes,68.0
480291817032,house_self_emp_yes,127.0
480291803003,house_self_emp_yes,69.0
480291803001,house_self_emp_yes,20.0
480291803002,house_self_emp_yes,25.0
480291817161,house_self_emp_yes,15.0
480291910034,house_self_emp_yes,59.0
480291910035,house_self_emp_yes,47.0
480291910033,house_self_emp_yes,12.0
480291910031,house_self_emp_yes,0.0
480291910032,house_self_emp_yes,217.0
480291214041,house_self_emp_yes,56.0
480291214042,house_self_emp_yes,27.0
480291214043,house_self_emp_yes,25.0
480291313001,house_self_emp_yes,22.0
480291313004,house_self_emp_yes,38.0
480291316061,house_self_emp_yes,108.0
480291103003,house_self_emp_yes,53.0
480291103002,house_self_emp_yes,38.0
480291201001,house_self_emp_yes,69.0
480291206002,house_self_emp_yes,48.0
480291206003,house_self_emp_yes,46.0
480291206006,house_self_emp_yes,43.0
480291206005,house_self_emp_yes,41.0
480291517003,house_self_emp_yes,0.0
480291517002,house_self_emp_yes,47.0
480291517001,house_self_emp_yes,82.0
480291607013,house_self_emp_yes,106.0
480291306001,house_self_emp_yes,41.0
480291306003,house_self_emp_yes,0.0
480291306002,house_self_emp_yes,25.0
480291402003,house_self_emp_yes,0.0
480291402002,house_self_emp_yes,39.0
480291402001,house_self_emp_yes,35.0
480291402004,house_self_emp_yes,28.0
480291309001,house_self_emp_yes,40.0
480291717004,house_self_emp_yes,0.0
480291719035,house_self_emp_yes,9.0
480291717006,house_self_emp_yes,64.0
480291719032,house_self_emp_yes,0.0
480291719034,house_self_emp_yes,8.0
480291509002,house_self_emp_yes,15.0
480291509001,house_self_emp_yes,26.0
480291509005,house_self_emp_yes,34.0
480291705003,house_self_emp_yes,0.0
480291705004,house_self_emp_yes,45.0
480291705002,house_self_emp_yes,17.0
480291805042,house_self_emp_yes,23.0
480291205025,house_self_emp_yes,10.0
480291205023,house_self_emp_yes,0.0
480291205026,house_self_emp_yes,15.0
480291205024,house_self_emp_yes,9.0
480291207012,house_self_emp_yes,23.0
480291207011,house_self_emp_yes,28.0
480291302002,house_self_emp_yes,23.0
480291410003,house_self_emp_yes,49.0
480291410002,house_self_emp_yes,21.0
480291516001,house_self_emp_yes,109.0
480291516004,house_self_emp_yes,83.0
480291516002,house_self_emp_yes,62.0
480291817051,house_self_emp_yes,36.0
480291817052,house_self_emp_yes,53.0
480291512002,house_self_emp_yes,14.0
480291606001,house_self_emp_yes,29.0
480291606003,house_self_emp_yes,60.0
480291419003,house_self_emp_yes,63.0
480291419002,house_self_emp_yes,74.0
480291515003,house_self_emp_yes,25.0
480291515002,house_self_emp_yes,23.0
480291603003,house_self_emp_yes,0.0
480291603002,house_self_emp_yes,10.0
480291603005,house_self_emp_yes,62.0
480291612001,house_self_emp_yes,28.0
480291612002,house_self_emp_yes,36.0
480291804003,house_self_emp_yes,31.0
480291804001,house_self_emp_yes,59.0
480291807012,house_self_emp_yes,113.0
480291811004,house_self_emp_yes,17.0
480291811002,house_self_emp_yes,74.0
480291811003,house_self_emp_yes,166.0
480291909015,house_self_emp_yes,109.0
480291909013,house_self_emp_yes,29.0
480291809014,house_self_emp_yes,23.0
480291813031,house_self_emp_yes,71.0
480291815041,house_self_emp_yes,18.0
480291815042,house_self_emp_yes,156.0
480291816012,house_self_emp_yes,86.0
480291906011,house_self_emp_yes,74.0
480291818091,house_self_emp_yes,77.0
480291818092,house_self_emp_yes,47.0
480291818094,house_self_emp_yes,134.0
480291906013,house_self_emp_yes,22.0
480291910041,house_self_emp_yes,24.0
480291910043,house_self_emp_yes,19.0
480291813022,house_self_emp_yes,50.0
480291212063,house_self_emp_yes,73.0
480291212061,house_self_emp_yes,20.0
480291212065,house_self_emp_yes,101.0
480291212062,house_self_emp_yes,69.0
480291214022,house_self_emp_yes,19.0
480291214021,house_self_emp_yes,236.0
480291218031,house_self_emp_yes,26.0
480291218032,house_self_emp_yes,18.0
480291218033,house_self_emp_yes,89.0
480291218041,house_self_emp_yes,134.0
480291218042,house_self_emp_yes,99.0
480291218043,house_self_emp_yes,84.0
480291308001,house_self_emp_yes,65.0
480291308004,house_self_emp_yes,0.0
480291308002,house_self_emp_yes,9.0
480291308003,house_self_emp_yes,14.0
480291311003,house_self_emp_yes,24.0
480291311002,house_self_emp_yes,8.0
480291602002,house_self_emp_yes,15.0
480291817134,house_self_emp_yes,95.0
480291817132,house_self_emp_yes,13.0
480291817133,house_self_emp_yes,138.0
480291815054,house_self_emp_yes,54.0
480291815053,house_self_emp_yes,34.0
480291815051,house_self_emp_yes,28.0
480291817042,house_self_emp_yes,18.0
480291817044,house_self_emp_yes,36.0
480291817111,house_self_emp_yes,171.0
480291907002,house_self_emp_yes,37.0
480291907003,house_self_emp_yes,66.0
480291607011,house_self_emp_yes,0.0
480291607012,house_self_emp_yes,55.0
480291718011,house_self_emp_yes,58.0
480291718013,house_self_emp_yes,79.0
480291718014,house_self_emp_yes,29.0
480291718012,house_self_emp_yes,12.0
480291802013,house_self_emp_yes,35.0
480291802012,house_self_emp_yes,30.0
480291802014,house_self_emp_yes,24.0
480291802011,house_self_emp_yes,10.0
480291812001,house_self_emp_yes,65.0
480291812004,house_self_emp_yes,65.0
480291812002,house_self_emp_yes,63.0
480291812005,house_self_emp_yes,91.0
480291514004,house_self_emp_yes,34.0
480291511003,house_self_emp_yes,0.0
480291511001,house_self_emp_yes,8.0
480291514001,house_self_emp_yes,83.0
480291514002,house_self_emp_yes,27.0
480291905012,house_self_emp_yes,127.0
480291905013,house_self_emp_yes,51.0
480291905011,house_self_emp_yes,9.0
480291908001,house_self_emp_yes,63.0
480291908002,house_self_emp_yes,85.0
480291909011,house_self_emp_yes,19.0
480291909012,house_self_emp_yes,16.0
480291909021,house_self_emp_yes,97.0
480291909023,house_self_emp_yes,57.0
480291810012,house_self_emp_yes,88.0
480291810042,house_self_emp_yes,60.0
480291810041,house_self_emp_yes,111.0
480291901004,house_self_emp_yes,0.0
480291901003,house_self_emp_yes,85.0
480291901002,house_self_emp_yes,18.0
480291719021,house_self_emp_yes,0.0
480291311001,house_self_emp_yes,14.0
480291203008,house_self_emp_yes,58.0
480291203007,house_self_emp_yes,31.0
480291501001,house_self_emp_yes,26.0
480291501004,house_self_emp_yes,87.0
480291506004,house_self_emp_yes,30.0
480291506003,house_self_emp_yes,0.0
480291511007,house_self_emp_yes,21.0
480291511005,house_self_emp_yes,0.0
480291511004,house_self_emp_yes,40.0
480291918042,house_self_emp_yes,123.0
480291918041,house_self_emp_yes,69.0
480291210004,house_self_emp_yes,33.0
480291210003,house_self_emp_yes,114.0
480291210005,house_self_emp_yes,33.0
480291210006,house_self_emp_yes,118.0
480291211102,house_self_emp_yes,128.0
480291215062,house_self_emp_yes,0.0
480291215061,house_self_emp_yes,36.0
480291305001,house_self_emp_yes,0.0
480291305003,house_self_emp_yes,102.0
480291305002,house_self_emp_yes,48.0
480291305004,house_self_emp_yes,22.0
480291904003,house_self_emp_yes,28.0
480291211081,house_self_emp_yes,67.0
480291211083,house_self_emp_yes,76.0
480291211084,house_self_emp_yes,0.0
480291207015,house_self_emp_yes,44.0
480291215042,house_self_emp_yes,24.0
480291215041,house_self_emp_yes,32.0
480291503001,house_self_emp_yes,12.0
480291503004,house_self_emp_yes,45.0
480291503003,house_self_emp_yes,75.0
480291602003,house_self_emp_yes,41.0
480291508002,house_self_emp_yes,44.0
480291508003,house_self_emp_yes,0.0
480291712003,house_self_emp_yes,32.0
480291418001,house_self_emp_yes,82.0
480291418002,house_self_emp_yes,6.0
480291512005,house_self_emp_yes,125.0
480291512003,house_self_emp_yes,0.0
480291512001,house_self_emp_yes,14.0
480291107001,house_self_emp_yes,13.0
480291904001,house_self_emp_yes,89.0
480291719121,house_self_emp_yes,131.0
480291817122,house_self_emp_yes,43.0
480291816023,house_self_emp_yes,21.0
480291816021,house_self_emp_yes,8.0
480291818081,house_self_emp_yes,65.0
480291821021,house_self_emp_yes,15.0
480291911011,house_self_emp_yes,93.0
480291911012,house_self_emp_yes,49.0
480291219082,house_self_emp_yes,107.0
480291219091,house_self_emp_yes,115.0
480291219092,house_self_emp_yes,147.0
480291219101,house_self_emp_yes,129.0
480291219102,house_self_emp_yes,30.0
480291304011,house_self_emp_yes,30.0
480291304012,house_self_emp_yes,36.0
480291304013,house_self_emp_yes,0.0
480291304014,house_self_emp_yes,25.0
480291304021,house_self_emp_yes,20.0
480291304022,house_self_emp_yes,8.0
480291304023,house_self_emp_yes,58.0
480291314011,house_self_emp_yes,120.0
480291314012,house_self_emp_yes,79.0
480291314021,house_self_emp_yes,27.0
480291719182,house_self_emp_yes,18.0
480291719184,house_self_emp_yes,30.0
480291719191,house_self_emp_yes,95.0
480291719202,house_self_emp_yes,71.0
480291719211,house_self_emp_yes,10.0
480291719213,house_self_emp_yes,15.0
480291719221,house_self_emp_yes,125.0
480291719232,house_self_emp_yes,13.0
480291719233,house_self_emp_yes,45.0
480291719241,house_self_emp_yes,170.0
480291720022,house_self_emp_yes,211.0
480291719242,house_self_emp_yes,60.0
480291719252,house_self_emp_yes,7.0
480291719254,house_self_emp_yes,5.0
480291720031,house_self_emp_yes,149.0
480291720032,house_self_emp_yes,71.0
480291720051,house_self_emp_yes,80.0
480291720052,house_self_emp_yes,95.0
480291720062,house_self_emp_yes,42.0
480291720063,house_self_emp_yes,121.0
480291720072,house_self_emp_yes,19.0
480291720073,house_self_emp_yes,130.0
480291801012,house_self_emp_yes,53.0
480291315031,house_self_emp_yes,16.0
480291315032,house_self_emp_yes,35.0
480291315041,house_self_emp_yes,5.0
480291315042,house_self_emp_yes,11.0
480291315051,house_self_emp_yes,72.0
480291315052,house_self_emp_yes,56.0
480291315062,house_self_emp_yes,28.0
480291316081,house_self_emp_yes,75.0
480291315071,house_self_emp_yes,43.0
480291315073,house_self_emp_yes,30.0
480291316012,house_self_emp_yes,85.0
480291316082,house_self_emp_yes,48.0
480291316092,house_self_emp_yes,39.0
480291316093,house_self_emp_yes,48.0
480291316102,house_self_emp_yes,64.0
480291316111,house_self_emp_yes,14.0
480291316131,house_self_emp_yes,12.0
480291316132,house_self_emp_yes,46.0
480291316142,house_self_emp_yes,18.0
480291316151,house_self_emp_yes,59.0
480291316153,house_self_emp_yes,55.0
480291316154,house_self_emp_yes,0.0
480291318012,house_self_emp_yes,26.0
480291318021,house_self_emp_yes,79.0
480291318023,house_self_emp_yes,101.0
480291411011,house_self_emp_yes,7.0
480291411013,house_self_emp_yes,9.0
480291411021,house_self_emp_yes,28.0
480291411023,house_self_emp_yes,47.0
480291414022,house_self_emp_yes,35.0
480291414032,house_self_emp_yes,82.0
480291414041,house_self_emp_yes,49.0
480291414043,house_self_emp_yes,8.0
480291416002,house_self_emp_yes,9.0
480291513011,house_self_emp_yes,45.0
480291513012,house_self_emp_yes,50.0
480291513013,house_self_emp_yes,20.0
480291513014,house_self_emp_yes,58.0
480291513021,house_self_emp_yes,49.0
