block_group,household_soc_sec,count_household_soc_sec
480291215072,house_soc_sec_yes,253.0
480291312002,house_soc_sec_yes,169.0
480291401002,house_soc_sec_yes,90.0
480291401001,house_soc_sec_yes,54.0
480291404004,house_soc_sec_yes,93.0
480291101002,house_soc_sec_yes,194.0
480291209022,house_soc_sec_yes,363.0
480291209021,house_soc_sec_yes,57.0
480291214033,house_soc_sec_yes,168.0
480291214031,house_soc_sec_yes,255.0
480291216042,house_soc_sec_yes,208.0
480291216043,house_soc_sec_yes,55.0
480291306004,house_soc_sec_yes,139.0
480291207022,house_soc_sec_yes,267.0
480291213003,house_soc_sec_yes,193.0
480291213001,house_soc_sec_yes,239.0
480291703004,house_soc_sec_yes,69.0
480291703002,house_soc_sec_yes,44.0
480291703006,house_soc_sec_yes,122.0
480291703005,house_soc_sec_yes,153.0
480291703003,house_soc_sec_yes,66.0
480291704024,house_soc_sec_yes,46.0
480291704021,house_soc_sec_yes,197.0
480291706001,house_soc_sec_yes,114.0
480291706004,house_soc_sec_yes,74.0
480291706003,house_soc_sec_yes,143.0
480291707003,house_soc_sec_yes,244.0
480291707002,house_soc_sec_yes,105.0
480291212044,house_soc_sec_yes,199.0
480291212043,house_soc_sec_yes,80.0
480291404001,house_soc_sec_yes,98.0
480291404002,house_soc_sec_yes,88.0
480291504003,house_soc_sec_yes,272.0
480291215052,house_soc_sec_yes,121.0
480291403002,house_soc_sec_yes,144.0
480291403003,house_soc_sec_yes,118.0
480291520001,house_soc_sec_yes,184.0
480291701011,house_soc_sec_yes,80.0
480291701012,house_soc_sec_yes,163.0
480291718022,house_soc_sec_yes,191.0
480291718025,house_soc_sec_yes,70.0
480291718023,house_soc_sec_yes,125.0
480291408004,house_soc_sec_yes,98.0
480291408001,house_soc_sec_yes,89.0
480291408005,house_soc_sec_yes,143.0
480291408003,house_soc_sec_yes,43.0
480291408002,house_soc_sec_yes,100.0
480291505023,house_soc_sec_yes,124.0
480291505022,house_soc_sec_yes,146.0
480291505021,house_soc_sec_yes,153.0
480291507006,house_soc_sec_yes,22.0
480291507001,house_soc_sec_yes,105.0
480291507003,house_soc_sec_yes,120.0
480291601004,house_soc_sec_yes,229.0
480291601003,house_soc_sec_yes,124.0
480291601001,house_soc_sec_yes,160.0
480291813023,house_soc_sec_yes,179.0
480291809021,house_soc_sec_yes,162.0
480291809023,house_soc_sec_yes,130.0
480291809022,house_soc_sec_yes,163.0
480291809025,house_soc_sec_yes,147.0
480291810031,house_soc_sec_yes,181.0
480291810051,house_soc_sec_yes,150.0
480291810052,house_soc_sec_yes,58.0
480291815061,house_soc_sec_yes,51.0
480291815062,house_soc_sec_yes,253.0
480291817151,house_soc_sec_yes,56.0
480291203002,house_soc_sec_yes,102.0
480291203003,house_soc_sec_yes,180.0
480291203005,house_soc_sec_yes,34.0
480291205013,house_soc_sec_yes,104.0
480291205015,house_soc_sec_yes,197.0
480291205012,house_soc_sec_yes,60.0
480291205014,house_soc_sec_yes,175.0
480291211152,house_soc_sec_yes,277.0
480291211153,house_soc_sec_yes,327.0
480291211172,house_soc_sec_yes,79.0
480291211171,house_soc_sec_yes,217.0
480291720021,house_soc_sec_yes,609.0
480291817031,house_soc_sec_yes,207.0
480291817032,house_soc_sec_yes,133.0
480291803003,house_soc_sec_yes,170.0
480291803001,house_soc_sec_yes,75.0
480291803002,house_soc_sec_yes,151.0
480291817161,house_soc_sec_yes,246.0
480291910034,house_soc_sec_yes,102.0
480291910035,house_soc_sec_yes,68.0
480291910033,house_soc_sec_yes,129.0
480291910031,house_soc_sec_yes,182.0
480291910032,house_soc_sec_yes,294.0
480291214041,house_soc_sec_yes,143.0
480291214042,house_soc_sec_yes,266.0
480291214043,house_soc_sec_yes,166.0
480291313001,house_soc_sec_yes,298.0
480291313004,house_soc_sec_yes,116.0
480291316061,house_soc_sec_yes,240.0
480291103003,house_soc_sec_yes,49.0
480291103002,house_soc_sec_yes,71.0
480291201001,house_soc_sec_yes,55.0
480291206002,house_soc_sec_yes,146.0
480291206003,house_soc_sec_yes,51.0
480291206006,house_soc_sec_yes,32.0
480291206005,house_soc_sec_yes,86.0
480291517003,house_soc_sec_yes,129.0
480291517002,house_soc_sec_yes,254.0
480291517001,house_soc_sec_yes,194.0
480291607013,house_soc_sec_yes,79.0
480291306001,house_soc_sec_yes,89.0
480291306003,house_soc_sec_yes,119.0
480291306002,house_soc_sec_yes,96.0
480291402003,house_soc_sec_yes,77.0
480291402002,house_soc_sec_yes,81.0
480291402001,house_soc_sec_yes,94.0
480291402004,house_soc_sec_yes,22.0
480291309001,house_soc_sec_yes,173.0
480291717004,house_soc_sec_yes,316.0
480291719035,house_soc_sec_yes,117.0
480291717006,house_soc_sec_yes,203.0
480291719032,house_soc_sec_yes,169.0
480291719034,house_soc_sec_yes,133.0
480291509002,house_soc_sec_yes,78.0
480291509001,house_soc_sec_yes,150.0
480291509005,house_soc_sec_yes,218.0
480291705003,house_soc_sec_yes,121.0
480291705004,house_soc_sec_yes,70.0
480291705002,house_soc_sec_yes,95.0
480291805042,house_soc_sec_yes,270.0
480291205025,house_soc_sec_yes,92.0
480291205023,house_soc_sec_yes,25.0
480291205026,house_soc_sec_yes,68.0
480291205024,house_soc_sec_yes,86.0
480291207012,house_soc_sec_yes,131.0
480291207011,house_soc_sec_yes,65.0
480291302002,house_soc_sec_yes,85.0
480291410003,house_soc_sec_yes,145.0
480291410002,house_soc_sec_yes,145.0
480291516001,house_soc_sec_yes,274.0
480291516004,house_soc_sec_yes,157.0
480291516002,house_soc_sec_yes,207.0
480291817051,house_soc_sec_yes,306.0
480291817052,house_soc_sec_yes,21.0
480291512002,house_soc_sec_yes,216.0
480291606001,house_soc_sec_yes,97.0
480291606003,house_soc_sec_yes,186.0
480291419003,house_soc_sec_yes,243.0
480291419002,house_soc_sec_yes,264.0
480291515003,house_soc_sec_yes,119.0
480291515002,house_soc_sec_yes,167.0
480291603003,house_soc_sec_yes,105.0
480291603002,house_soc_sec_yes,130.0
480291603005,house_soc_sec_yes,179.0
480291612001,house_soc_sec_yes,47.0
480291612002,house_soc_sec_yes,169.0
480291804003,house_soc_sec_yes,98.0
480291804001,house_soc_sec_yes,242.0
480291807012,house_soc_sec_yes,246.0
480291811004,house_soc_sec_yes,57.0
480291811002,house_soc_sec_yes,194.0
480291811003,house_soc_sec_yes,437.0
480291909015,house_soc_sec_yes,141.0
480291909013,house_soc_sec_yes,48.0
480291809014,house_soc_sec_yes,83.0
480291813031,house_soc_sec_yes,109.0
480291815041,house_soc_sec_yes,329.0
480291815042,house_soc_sec_yes,102.0
480291816012,house_soc_sec_yes,392.0
480291906011,house_soc_sec_yes,50.0
480291818091,house_soc_sec_yes,152.0
480291818092,house_soc_sec_yes,140.0
480291818094,house_soc_sec_yes,169.0
480291906013,house_soc_sec_yes,90.0
480291910041,house_soc_sec_yes,103.0
480291910043,house_soc_sec_yes,108.0
480291813022,house_soc_sec_yes,306.0
480291212063,house_soc_sec_yes,116.0
480291212061,house_soc_sec_yes,105.0
480291212065,house_soc_sec_yes,144.0
480291212062,house_soc_sec_yes,136.0
480291214022,house_soc_sec_yes,115.0
480291214021,house_soc_sec_yes,342.0
480291218031,house_soc_sec_yes,172.0
480291218032,house_soc_sec_yes,133.0
480291218033,house_soc_sec_yes,177.0
480291218041,house_soc_sec_yes,122.0
480291218042,house_soc_sec_yes,182.0
480291218043,house_soc_sec_yes,252.0
480291308001,house_soc_sec_yes,286.0
480291308004,house_soc_sec_yes,103.0
480291308002,house_soc_sec_yes,143.0
480291308003,house_soc_sec_yes,51.0
480291311003,house_soc_sec_yes,143.0
480291311002,house_soc_sec_yes,112.0
480291602002,house_soc_sec_yes,103.0
480291817134,house_soc_sec_yes,159.0
480291817132,house_soc_sec_yes,210.0
480291817133,house_soc_sec_yes,201.0
480291815054,house_soc_sec_yes,195.0
480291815053,house_soc_sec_yes,150.0
480291815051,house_soc_sec_yes,154.0
480291817042,house_soc_sec_yes,143.0
480291817044,house_soc_sec_yes,58.0
480291817111,house_soc_sec_yes,238.0
480291907002,house_soc_sec_yes,79.0
480291907003,house_soc_sec_yes,113.0
480291607011,house_soc_sec_yes,193.0
480291607012,house_soc_sec_yes,131.0
480291718011,house_soc_sec_yes,161.0
480291718013,house_soc_sec_yes,222.0
480291718014,house_soc_sec_yes,112.0
480291718012,house_soc_sec_yes,106.0
480291802013,house_soc_sec_yes,286.0
480291802012,house_soc_sec_yes,130.0
480291802014,house_soc_sec_yes,146.0
480291802011,house_soc_sec_yes,112.0
480291812001,house_soc_sec_yes,142.0
480291812004,house_soc_sec_yes,211.0
480291812002,house_soc_sec_yes,129.0
480291812005,house_soc_sec_yes,212.0
480291514004,house_soc_sec_yes,51.0
480291511003,house_soc_sec_yes,138.0
480291511001,house_soc_sec_yes,98.0
480291514001,house_soc_sec_yes,126.0
480291514002,house_soc_sec_yes,155.0
480291905012,house_soc_sec_yes,150.0
480291905013,house_soc_sec_yes,81.0
480291905011,house_soc_sec_yes,117.0
480291908001,house_soc_sec_yes,94.0
480291908002,house_soc_sec_yes,117.0
480291909011,house_soc_sec_yes,127.0
480291909012,house_soc_sec_yes,158.0
480291909021,house_soc_sec_yes,234.0
480291909023,house_soc_sec_yes,71.0
480291810012,house_soc_sec_yes,146.0
480291810042,house_soc_sec_yes,83.0
480291810041,house_soc_sec_yes,145.0
480291901004,house_soc_sec_yes,108.0
480291901003,house_soc_sec_yes,90.0
480291901002,house_soc_sec_yes,204.0
480291719021,house_soc_sec_yes,87.0
480291311001,house_soc_sec_yes,81.0
480291203008,house_soc_sec_yes,88.0
480291203007,house_soc_sec_yes,127.0
480291501001,house_soc_sec_yes,132.0
480291501004,house_soc_sec_yes,95.0
