block_group,household_earnings,count_household_earnings
480291703006,house_earnings_yes,179.0
480291703005,house_earnings_yes,291.0
480291703003,house_earnings_yes,146.0
480291704024,house_earnings_yes,130.0
480291704021,house_earnings_yes,406.0
480291706001,house_earnings_yes,269.0
480291706004,house_earnings_yes,293.0
480291706003,house_earnings_yes,278.0
480291707003,house_earnings_yes,475.0
480291707002,house_earnings_yes,222.0
480291212044,house_earnings_yes,438.0
480291212043,house_earnings_yes,444.0
480291404001,house_earnings_yes,262.0
480291404002,house_earnings_yes,348.0
480291504003,house_earnings_yes,655.0
480291215052,house_earnings_yes,158.0
480291403002,house_earnings_yes,248.0
480291403003,house_earnings_yes,278.0
480291520001,house_earnings_yes,639.0
480291701011,house_earnings_yes,178.0
480291701012,house_earnings_yes,374.0
480291718022,house_earnings_yes,322.0
480291718025,house_earnings_yes,149.0
480291718023,house_earnings_yes,339.0
480291408004,house_earnings_yes,176.0
480291408001,house_earnings_yes,337.0
480291408005,house_earnings_yes,280.0
480291408003,house_earnings_yes,153.0
480291408002,house_earnings_yes,325.0
480291505023,house_earnings_yes,207.0
480291505022,house_earnings_yes,297.0
480291505021,house_earnings_yes,235.0
480291507006,house_earnings_yes,75.0
480291507001,house_earnings_yes,211.0
480291507003,house_earnings_yes,252.0
480291601004,house_earnings_yes,550.0
480291601003,house_earnings_yes,290.0
480291601001,house_earnings_yes,273.0
480291813023,house_earnings_yes,586.0
480291809021,house_earnings_yes,295.0
480291809023,house_earnings_yes,409.0
480291809022,house_earnings_yes,417.0
480291809025,house_earnings_yes,481.0
480291810031,house_earnings_yes,767.0
480291810051,house_earnings_yes,620.0
480291810052,house_earnings_yes,228.0
480291815061,house_earnings_yes,174.0
480291815062,house_earnings_yes,343.0
480291817151,house_earnings_yes,322.0
480291203002,house_earnings_yes,251.0
480291203003,house_earnings_yes,515.0
480291203005,house_earnings_yes,277.0
480291205013,house_earnings_yes,345.0
480291205015,house_earnings_yes,284.0
480291205012,house_earnings_yes,489.0
480291205014,house_earnings_yes,374.0
480291211152,house_earnings_yes,728.0
480291211153,house_earnings_yes,505.0
480291211172,house_earnings_yes,419.0
480291211171,house_earnings_yes,655.0
480291720021,house_earnings_yes,1301.0
480291817031,house_earnings_yes,982.0
480291817032,house_earnings_yes,597.0
480291803003,house_earnings_yes,263.0
480291803001,house_earnings_yes,274.0
480291803002,house_earnings_yes,362.0
480291817161,house_earnings_yes,832.0
480291910034,house_earnings_yes,275.0
480291910035,house_earnings_yes,204.0
480291910033,house_earnings_yes,236.0
480291910031,house_earnings_yes,200.0
480291910032,house_earnings_yes,1407.0
480291214041,house_earnings_yes,417.0
480291214042,house_earnings_yes,429.0
480291214043,house_earnings_yes,361.0
480291313001,house_earnings_yes,321.0
480291313004,house_earnings_yes,178.0
480291316061,house_earnings_yes,639.0
480291103003,house_earnings_yes,146.0
480291103002,house_earnings_yes,331.0
480291201001,house_earnings_yes,902.0
480291206002,house_earnings_yes,349.0
480291206003,house_earnings_yes,366.0
480291206006,house_earnings_yes,199.0
480291206005,house_earnings_yes,314.0
480291517003,house_earnings_yes,314.0
480291517002,house_earnings_yes,333.0
480291517001,house_earnings_yes,435.0
480291607013,house_earnings_yes,235.0
480291306001,house_earnings_yes,236.0
480291306003,house_earnings_yes,236.0
480291306002,house_earnings_yes,189.0
480291402003,house_earnings_yes,156.0
480291402002,house_earnings_yes,169.0
480291402001,house_earnings_yes,185.0
480291402004,house_earnings_yes,174.0
480291309001,house_earnings_yes,613.0
480291717004,house_earnings_yes,314.0
480291719035,house_earnings_yes,278.0
480291717006,house_earnings_yes,264.0
480291719032,house_earnings_yes,239.0
480291719034,house_earnings_yes,189.0
480291509002,house_earnings_yes,150.0
480291509001,house_earnings_yes,335.0
480291509005,house_earnings_yes,355.0
480291705003,house_earnings_yes,267.0
480291705004,house_earnings_yes,226.0
480291705002,house_earnings_yes,372.0
480291805042,house_earnings_yes,536.0
480291205025,house_earnings_yes,268.0
480291205023,house_earnings_yes,164.0
480291205026,house_earnings_yes,204.0
480291205024,house_earnings_yes,155.0
