block_group,commute_time_bus,count_commute_time_bus
480291611006,commute_time_bus_00_14,0.0
480291611001,commute_time_bus_00_14,0.0
480291611004,commute_time_bus_00_14,0.0
480291611003,commute_time_bus_00_14,0.0
480291611002,commute_time_bus_00_14,0.0
480291813012,commute_time_bus_00_14,0.0
480291813011,commute_time_bus_00_14,0.0
480291814021,commute_time_bus_00_14,0.0
480291814022,commute_time_bus_00_14,0.0
480291109001,commute_time_bus_00_14,22.0
480291110003,commute_time_bus_00_14,27.0
480291110002,commute_time_bus_00_14,0.0
480291204001,commute_time_bus_00_14,0.0
480291204005,commute_time_bus_00_14,0.0
480291710004,commute_time_bus_00_14,0.0
480291204003,commute_time_bus_00_14,0.0
480291207021,commute_time_bus_00_14,0.0
480291704014,commute_time_bus_00_14,0.0
480291710001,commute_time_bus_00_14,0.0
480291710002,commute_time_bus_00_14,0.0
480291717001,commute_time_bus_00_14,0.0
480291717003,commute_time_bus_00_14,0.0
480291215013,commute_time_bus_00_14,0.0
480291215011,commute_time_bus_00_14,0.0
480291215074,commute_time_bus_00_14,7.0
480291215071,commute_time_bus_00_14,0.0
480291215072,commute_time_bus_00_14,0.0
480291312002,commute_time_bus_00_14,0.0
480291401002,commute_time_bus_00_14,0.0
480291401001,commute_time_bus_00_14,9.0
480291404004,commute_time_bus_00_14,0.0
480291101002,commute_time_bus_00_14,0.0
480291209022,commute_time_bus_00_14,0.0
480291209021,commute_time_bus_00_14,0.0
480291214033,commute_time_bus_00_14,0.0
480291214031,commute_time_bus_00_14,0.0
480291216042,commute_time_bus_00_14,0.0
480291216043,commute_time_bus_00_14,0.0
480291306004,commute_time_bus_00_14,0.0
480291207022,commute_time_bus_00_14,0.0
480291213003,commute_time_bus_00_14,0.0
480291213001,commute_time_bus_00_14,0.0
480291703004,commute_time_bus_00_14,0.0
480291703002,commute_time_bus_00_14,0.0
480291703006,commute_time_bus_00_14,0.0
480291703005,commute_time_bus_00_14,0.0
480291703003,commute_time_bus_00_14,24.0
480291704024,commute_time_bus_00_14,0.0
480291704021,commute_time_bus_00_14,8.0
480291706001,commute_time_bus_00_14,0.0
480291706004,commute_time_bus_00_14,0.0
480291706003,commute_time_bus_00_14,0.0
480291707003,commute_time_bus_00_14,0.0
480291707002,commute_time_bus_00_14,0.0
480291212044,commute_time_bus_00_14,0.0
480291212043,commute_time_bus_00_14,0.0
480291404001,commute_time_bus_00_14,0.0
480291404002,commute_time_bus_00_14,0.0
480291504003,commute_time_bus_00_14,0.0
480291215052,commute_time_bus_00_14,0.0
480291403002,commute_time_bus_00_14,0.0
480291403003,commute_time_bus_00_14,0.0
480291520001,commute_time_bus_00_14,0.0
480291701011,commute_time_bus_00_14,7.0
480291701012,commute_time_bus_00_14,0.0
480291718022,commute_time_bus_00_14,0.0
480291718025,commute_time_bus_00_14,0.0
480291718023,commute_time_bus_00_14,0.0
480291408004,commute_time_bus_00_14,12.0
480291408001,commute_time_bus_00_14,0.0
480291408005,commute_time_bus_00_14,8.0
480291408003,commute_time_bus_00_14,0.0
480291408002,commute_time_bus_00_14,0.0
480291505023,commute_time_bus_00_14,0.0
480291505022,commute_time_bus_00_14,0.0
480291505021,commute_time_bus_00_14,0.0
480291507006,commute_time_bus_00_14,0.0
480291507001,commute_time_bus_00_14,0.0
480291507003,commute_time_bus_00_14,0.0
480291601004,commute_time_bus_00_14,0.0
480291601003,commute_time_bus_00_14,0.0
480291601001,commute_time_bus_00_14,0.0
480291813023,commute_time_bus_00_14,0.0
480291809021,commute_time_bus_00_14,0.0
480291809023,commute_time_bus_00_14,0.0
480291809022,commute_time_bus_00_14,0.0
480291809025,commute_time_bus_00_14,0.0
480291810031,commute_time_bus_00_14,0.0
480291810051,commute_time_bus_00_14,0.0
480291810052,commute_time_bus_00_14,0.0
480291815061,commute_time_bus_00_14,0.0
480291815062,commute_time_bus_00_14,0.0
480291817151,commute_time_bus_00_14,0.0
480291203002,commute_time_bus_00_14,0.0
480291203003,commute_time_bus_00_14,0.0
480291203005,commute_time_bus_00_14,0.0
480291205013,commute_time_bus_00_14,0.0
480291205015,commute_time_bus_00_14,0.0
480291205012,commute_time_bus_00_14,0.0
480291205014,commute_time_bus_00_14,0.0
480291211152,commute_time_bus_00_14,0.0
480291211153,commute_time_bus_00_14,0.0
480291211172,commute_time_bus_00_14,0.0
480291211171,commute_time_bus_00_14,0.0
480291720021,commute_time_bus_00_14,0.0
480291817031,commute_time_bus_00_14,0.0
480291817032,commute_time_bus_00_14,0.0
480291803003,commute_time_bus_00_14,0.0
480291803001,commute_time_bus_00_14,0.0
480291803002,commute_time_bus_00_14,0.0
480291817161,commute_time_bus_00_14,0.0
480291910034,commute_time_bus_00_14,0.0
480291910035,commute_time_bus_00_14,0.0
480291910033,commute_time_bus_00_14,0.0
480291910031,commute_time_bus_00_14,0.0
480291910032,commute_time_bus_00_14,0.0
480291214041,commute_time_bus_00_14,0.0
480291214042,commute_time_bus_00_14,0.0
480291214043,commute_time_bus_00_14,0.0
480291313001,commute_time_bus_00_14,0.0
480291313004,commute_time_bus_00_14,0.0
480291316061,commute_time_bus_00_14,0.0
480291103003,commute_time_bus_00_14,0.0
480291103002,commute_time_bus_00_14,0.0
480291201001,commute_time_bus_00_14,12.0
480291206002,commute_time_bus_00_14,0.0
480291206003,commute_time_bus_00_14,0.0
480291206006,commute_time_bus_00_14,0.0
480291206005,commute_time_bus_00_14,0.0
480291517003,commute_time_bus_00_14,0.0
480291517002,commute_time_bus_00_14,19.0
480291517001,commute_time_bus_00_14,0.0
480291607013,commute_time_bus_00_14,0.0
480291306001,commute_time_bus_00_14,0.0
480291306003,commute_time_bus_00_14,0.0
480291306002,commute_time_bus_00_14,0.0
480291402003,commute_time_bus_00_14,0.0
480291402002,commute_time_bus_00_14,0.0
480291402001,commute_time_bus_00_14,0.0
480291402004,commute_time_bus_00_14,48.0
480291309001,commute_time_bus_00_14,0.0
480291717004,commute_time_bus_00_14,0.0
480291719035,commute_time_bus_00_14,0.0
480291717006,commute_time_bus_00_14,0.0
480291719032,commute_time_bus_00_14,0.0
