block_group,household_retirement,count_household_retirement
480291212043,house_retire_yes,40.0
480291404001,house_retire_yes,43.0
480291404002,house_retire_yes,95.0
480291504003,house_retire_yes,133.0
480291215052,house_retire_yes,63.0
480291403002,house_retire_yes,25.0
480291403003,house_retire_yes,59.0
480291520001,house_retire_yes,58.0
480291701011,house_retire_yes,7.0
480291701012,house_retire_yes,6.0
480291718022,house_retire_yes,78.0
480291718025,house_retire_yes,55.0
480291718023,house_retire_yes,37.0
480291408004,house_retire_yes,16.0
480291408001,house_retire_yes,85.0
480291408005,house_retire_yes,39.0
480291408003,house_retire_yes,13.0
480291408002,house_retire_yes,56.0
480291505023,house_retire_yes,49.0
480291505022,house_retire_yes,10.0
480291505021,house_retire_yes,24.0
480291507006,house_retire_yes,7.0
480291507001,house_retire_yes,11.0
480291507003,house_retire_yes,0.0
480291601004,house_retire_yes,26.0
480291601003,house_retire_yes,16.0
480291601001,house_retire_yes,104.0
480291813023,house_retire_yes,132.0
480291809021,house_retire_yes,103.0
480291809023,house_retire_yes,73.0
480291809022,house_retire_yes,35.0
480291809025,house_retire_yes,45.0
480291810031,house_retire_yes,101.0
480291810051,house_retire_yes,82.0
480291810052,house_retire_yes,8.0
480291815061,house_retire_yes,44.0
480291815062,house_retire_yes,141.0
480291817151,house_retire_yes,22.0
480291203002,house_retire_yes,18.0
480291203003,house_retire_yes,155.0
480291203005,house_retire_yes,34.0
480291205013,house_retire_yes,109.0
480291205015,house_retire_yes,106.0
480291205012,house_retire_yes,119.0
480291205014,house_retire_yes,179.0
480291211152,house_retire_yes,363.0
480291211153,house_retire_yes,277.0
480291211172,house_retire_yes,74.0
480291211171,house_retire_yes,130.0
480291720021,house_retire_yes,660.0
480291817031,house_retire_yes,112.0
480291817032,house_retire_yes,162.0
480291803003,house_retire_yes,68.0
480291803001,house_retire_yes,40.0
480291803002,house_retire_yes,102.0
480291817161,house_retire_yes,142.0
480291910034,house_retire_yes,49.0
480291910035,house_retire_yes,54.0
480291910033,house_retire_yes,83.0
480291910031,house_retire_yes,44.0
480291910032,house_retire_yes,113.0
480291214041,house_retire_yes,85.0
480291214042,house_retire_yes,63.0
480291214043,house_retire_yes,46.0
480291313001,house_retire_yes,173.0
480291313004,house_retire_yes,63.0
480291316061,house_retire_yes,271.0
480291103003,house_retire_yes,38.0
480291103002,house_retire_yes,48.0
480291201001,house_retire_yes,45.0
480291206002,house_retire_yes,130.0
480291206003,house_retire_yes,45.0
480291206006,house_retire_yes,49.0
480291206005,house_retire_yes,67.0
480291517003,house_retire_yes,30.0
480291517002,house_retire_yes,148.0
480291517001,house_retire_yes,47.0
480291607013,house_retire_yes,52.0
480291306001,house_retire_yes,17.0
480291306003,house_retire_yes,0.0
480291306002,house_retire_yes,39.0
480291402003,house_retire_yes,28.0
480291402002,house_retire_yes,44.0
480291402001,house_retire_yes,42.0
480291402004,house_retire_yes,37.0
480291309001,house_retire_yes,42.0
480291717004,house_retire_yes,206.0
480291719035,house_retire_yes,65.0
480291717006,house_retire_yes,49.0
480291719032,house_retire_yes,69.0
480291719034,house_retire_yes,32.0
480291509002,house_retire_yes,44.0
480291509001,house_retire_yes,86.0
480291509005,house_retire_yes,74.0
480291705003,house_retire_yes,29.0
480291705004,house_retire_yes,18.0
480291705002,house_retire_yes,20.0
480291805042,house_retire_yes,87.0
480291205025,house_retire_yes,31.0
480291205023,house_retire_yes,16.0
