block_group,household_int_div_rent,count_household_int_div_rent
480291710002,house_int_div_rent_yes,18.0
480291717001,house_int_div_rent_yes,16.0
480291717003,house_int_div_rent_yes,23.0
480291215013,house_int_div_rent_yes,103.0
480291215011,house_int_div_rent_yes,184.0
480291215074,house_int_div_rent_yes,68.0
480291215071,house_int_div_rent_yes,64.0
480291215072,house_int_div_rent_yes,154.0
480291312002,house_int_div_rent_yes,77.0
480291401002,house_int_div_rent_yes,19.0
480291401001,house_int_div_rent_yes,9.0
480291404004,house_int_div_rent_yes,0.0
480291101002,house_int_div_rent_yes,52.0
480291209022,house_int_div_rent_yes,354.0
480291209021,house_int_div_rent_yes,9.0
480291214033,house_int_div_rent_yes,108.0
480291214031,house_int_div_rent_yes,44.0
480291216042,house_int_div_rent_yes,74.0
480291216043,house_int_div_rent_yes,14.0
480291306004,house_int_div_rent_yes,10.0
480291207022,house_int_div_rent_yes,268.0
480291213003,house_int_div_rent_yes,92.0
480291213001,house_int_div_rent_yes,139.0
480291703004,house_int_div_rent_yes,0.0
480291703002,house_int_div_rent_yes,9.0
480291703006,house_int_div_rent_yes,0.0
480291703005,house_int_div_rent_yes,8.0
480291703003,house_int_div_rent_yes,0.0
480291704024,house_int_div_rent_yes,9.0
480291704021,house_int_div_rent_yes,16.0
480291706001,house_int_div_rent_yes,30.0
480291706004,house_int_div_rent_yes,20.0
480291706003,house_int_div_rent_yes,24.0
480291707003,house_int_div_rent_yes,34.0
480291707002,house_int_div_rent_yes,21.0
480291212044,house_int_div_rent_yes,208.0
480291212043,house_int_div_rent_yes,91.0
480291404001,house_int_div_rent_yes,35.0
480291404002,house_int_div_rent_yes,31.0
480291504003,house_int_div_rent_yes,69.0
480291215052,house_int_div_rent_yes,36.0
480291403002,house_int_div_rent_yes,32.0
480291403003,house_int_div_rent_yes,21.0
480291520001,house_int_div_rent_yes,62.0
480291701011,house_int_div_rent_yes,6.0
480291701012,house_int_div_rent_yes,22.0
480291718022,house_int_div_rent_yes,0.0
480291718025,house_int_div_rent_yes,0.0
480291718023,house_int_div_rent_yes,43.0
480291408004,house_int_div_rent_yes,0.0
480291408001,house_int_div_rent_yes,49.0
480291408005,house_int_div_rent_yes,25.0
480291408003,house_int_div_rent_yes,6.0
480291408002,house_int_div_rent_yes,32.0
480291505023,house_int_div_rent_yes,6.0
480291505022,house_int_div_rent_yes,24.0
480291505021,house_int_div_rent_yes,17.0
480291507006,house_int_div_rent_yes,13.0
480291507001,house_int_div_rent_yes,15.0
480291507003,house_int_div_rent_yes,0.0
480291601004,house_int_div_rent_yes,10.0
480291601003,house_int_div_rent_yes,9.0
480291601001,house_int_div_rent_yes,25.0
480291813023,house_int_div_rent_yes,99.0
480291809021,house_int_div_rent_yes,43.0
480291809023,house_int_div_rent_yes,43.0
480291809022,house_int_div_rent_yes,32.0
480291809025,house_int_div_rent_yes,48.0
480291810031,house_int_div_rent_yes,38.0
480291810051,house_int_div_rent_yes,0.0
480291810052,house_int_div_rent_yes,0.0
480291815061,house_int_div_rent_yes,39.0
480291815062,house_int_div_rent_yes,107.0
480291817151,house_int_div_rent_yes,13.0
480291203002,house_int_div_rent_yes,63.0
480291203003,house_int_div_rent_yes,159.0
480291203005,house_int_div_rent_yes,87.0
480291205013,house_int_div_rent_yes,34.0
480291205015,house_int_div_rent_yes,92.0
480291205012,house_int_div_rent_yes,46.0
480291205014,house_int_div_rent_yes,111.0
480291211152,house_int_div_rent_yes,321.0
480291211153,house_int_div_rent_yes,199.0
480291211172,house_int_div_rent_yes,85.0
480291211171,house_int_div_rent_yes,122.0
480291720021,house_int_div_rent_yes,322.0
480291817031,house_int_div_rent_yes,173.0
480291817032,house_int_div_rent_yes,147.0
480291803003,house_int_div_rent_yes,59.0
480291803001,house_int_div_rent_yes,8.0
480291803002,house_int_div_rent_yes,20.0
480291817161,house_int_div_rent_yes,65.0
480291910034,house_int_div_rent_yes,28.0
480291910035,house_int_div_rent_yes,27.0
480291910033,house_int_div_rent_yes,38.0
480291910031,house_int_div_rent_yes,58.0
480291910032,house_int_div_rent_yes,150.0
480291214041,house_int_div_rent_yes,65.0
480291214042,house_int_div_rent_yes,45.0
480291214043,house_int_div_rent_yes,12.0
480291313001,house_int_div_rent_yes,53.0
480291313004,house_int_div_rent_yes,90.0
480291316061,house_int_div_rent_yes,134.0
480291103003,house_int_div_rent_yes,25.0
480291103002,house_int_div_rent_yes,40.0
480291201001,house_int_div_rent_yes,197.0
480291206002,house_int_div_rent_yes,42.0
480291206003,house_int_div_rent_yes,36.0
480291206006,house_int_div_rent_yes,18.0
480291206005,house_int_div_rent_yes,62.0
480291517003,house_int_div_rent_yes,116.0
480291517002,house_int_div_rent_yes,44.0
480291517001,house_int_div_rent_yes,53.0
480291607013,house_int_div_rent_yes,8.0
480291306001,house_int_div_rent_yes,17.0
480291306003,house_int_div_rent_yes,11.0
480291306002,house_int_div_rent_yes,35.0
480291402003,house_int_div_rent_yes,7.0
480291402002,house_int_div_rent_yes,36.0
480291402001,house_int_div_rent_yes,13.0
480291402004,house_int_div_rent_yes,14.0
480291309001,house_int_div_rent_yes,30.0
480291717004,house_int_div_rent_yes,118.0
480291719035,house_int_div_rent_yes,76.0
480291717006,house_int_div_rent_yes,10.0
480291719032,house_int_div_rent_yes,50.0
480291719034,house_int_div_rent_yes,35.0
480291509002,house_int_div_rent_yes,50.0
480291509001,house_int_div_rent_yes,44.0
480291509005,house_int_div_rent_yes,41.0
480291705003,house_int_div_rent_yes,0.0
480291705004,house_int_div_rent_yes,14.0
480291705002,house_int_div_rent_yes,17.0
480291805042,house_int_div_rent_yes,57.0
480291205025,house_int_div_rent_yes,11.0
480291205023,house_int_div_rent_yes,0.0
480291205026,house_int_div_rent_yes,35.0
480291205024,house_int_div_rent_yes,40.0
480291207012,house_int_div_rent_yes,0.0
480291207011,house_int_div_rent_yes,14.0
480291302002,house_int_div_rent_yes,4.0
480291410003,house_int_div_rent_yes,38.0
480291410002,house_int_div_rent_yes,4.0
