block_group,race,count_race
480291718025,race_tot_w,91.0
480291718023,race_tot_w,80.0
480291408004,race_tot_w,43.0
480291408001,race_tot_w,134.0
480291408005,race_tot_w,136.0
480291408003,race_tot_w,74.0
480291408002,race_tot_w,79.0
480291505023,race_tot_w,32.0
480291505022,race_tot_w,0.0
480291505021,race_tot_w,42.0
480291507006,race_tot_w,36.0
480291507001,race_tot_w,0.0
480291507003,race_tot_w,12.0
480291601004,race_tot_w,44.0
480291601003,race_tot_w,0.0
480291601001,race_tot_w,47.0
480291813023,race_tot_w,609.0
480291809021,race_tot_w,124.0
480291809023,race_tot_w,219.0
480291809022,race_tot_w,55.0
480291809025,race_tot_w,317.0
480291810031,race_tot_w,684.0
480291810051,race_tot_w,477.0
480291810052,race_tot_w,171.0
480291815061,race_tot_w,174.0
480291815062,race_tot_w,460.0
480291817151,race_tot_w,410.0
480291203002,race_tot_w,438.0
480291203003,race_tot_w,641.0
480291203005,race_tot_w,1034.0
480291205013,race_tot_w,534.0
480291205015,race_tot_w,633.0
480291205012,race_tot_w,289.0
480291205014,race_tot_w,296.0
480291211152,race_tot_w,1594.0
480291211153,race_tot_w,1104.0
480291211172,race_tot_w,910.0
480291211171,race_tot_w,861.0
480291720021,race_tot_w,2175.0
480291817031,race_tot_w,1483.0
480291817032,race_tot_w,891.0
480291803003,race_tot_w,52.0
480291803001,race_tot_w,32.0
480291803002,race_tot_w,361.0
480291817161,race_tot_w,287.0
480291910034,race_tot_w,157.0
480291910035,race_tot_w,63.0
480291910033,race_tot_w,220.0
480291910031,race_tot_w,281.0
480291910032,race_tot_w,827.0
480291214041,race_tot_w,432.0
480291214042,race_tot_w,122.0
480291214043,race_tot_w,324.0
480291313001,race_tot_w,384.0
480291313004,race_tot_w,106.0
480291316061,race_tot_w,878.0
480291103003,race_tot_w,91.0
480291103002,race_tot_w,170.0
480291201001,race_tot_w,2542.0
480291206002,race_tot_w,471.0
480291206003,race_tot_w,399.0
480291206006,race_tot_w,342.0
480291206005,race_tot_w,866.0
480291517003,race_tot_w,373.0
480291517002,race_tot_w,352.0
480291517001,race_tot_w,489.0
480291607013,race_tot_w,11.0
480291306001,race_tot_w,0.0
480291306003,race_tot_w,164.0
480291306002,race_tot_w,13.0
480291402003,race_tot_w,16.0
480291402002,race_tot_w,212.0
480291402001,race_tot_w,153.0
480291402004,race_tot_w,37.0
480291309001,race_tot_w,116.0
480291717004,race_tot_w,362.0
480291719035,race_tot_w,190.0
480291717006,race_tot_w,2.0
480291719032,race_tot_w,70.0
480291719034,race_tot_w,185.0
480291509002,race_tot_w,106.0
480291509001,race_tot_w,104.0
480291509005,race_tot_w,248.0
480291705003,race_tot_w,268.0
480291705004,race_tot_w,87.0
480291705002,race_tot_w,183.0
480291805042,race_tot_w,114.0
480291205025,race_tot_w,129.0
480291205023,race_tot_w,122.0
480291205026,race_tot_w,245.0
480291205024,race_tot_w,224.0
480291207012,race_tot_w,242.0
480291207011,race_tot_w,363.0
480291302002,race_tot_w,23.0
480291410003,race_tot_w,88.0
480291410002,race_tot_w,112.0
480291516001,race_tot_w,203.0
480291516004,race_tot_w,78.0
480291516002,race_tot_w,226.0
480291817051,race_tot_w,695.0
480291817052,race_tot_w,338.0
480291512002,race_tot_w,403.0
480291606001,race_tot_w,28.0
480291606003,race_tot_w,21.0
480291419003,race_tot_w,684.0
480291419002,race_tot_w,1163.0
480291515003,race_tot_w,95.0
480291515002,race_tot_w,87.0
480291603003,race_tot_w,37.0
480291603002,race_tot_w,38.0
480291603005,race_tot_w,75.0
480291612001,race_tot_w,248.0
480291612002,race_tot_w,74.0
480291804003,race_tot_w,37.0
480291804001,race_tot_w,100.0
480291807012,race_tot_w,784.0
480291811004,race_tot_w,355.0
480291811002,race_tot_w,568.0
480291811003,race_tot_w,972.0
480291909015,race_tot_w,690.0
480291909013,race_tot_w,91.0
480291809014,race_tot_w,193.0
480291813031,race_tot_w,763.0
480291815041,race_tot_w,521.0
