block_group,household_ssdi,count_household_ssdi
480291312002,house_sup_sec_yes,7.0
480291401002,house_sup_sec_yes,5.0
480291401001,house_sup_sec_yes,19.0
480291404004,house_sup_sec_yes,28.0
480291101002,house_sup_sec_yes,29.0
480291209022,house_sup_sec_yes,15.0
480291209021,house_sup_sec_yes,61.0
480291214033,house_sup_sec_yes,46.0
480291214031,house_sup_sec_yes,100.0
480291216042,house_sup_sec_yes,43.0
480291216043,house_sup_sec_yes,19.0
480291306004,house_sup_sec_yes,56.0
480291207022,house_sup_sec_yes,15.0
480291213003,house_sup_sec_yes,14.0
480291213001,house_sup_sec_yes,46.0
480291703004,house_sup_sec_yes,25.0
480291703002,house_sup_sec_yes,36.0
480291703006,house_sup_sec_yes,50.0
480291703005,house_sup_sec_yes,74.0
480291703003,house_sup_sec_yes,32.0
480291704024,house_sup_sec_yes,25.0
480291704021,house_sup_sec_yes,104.0
480291706001,house_sup_sec_yes,0.0
480291706004,house_sup_sec_yes,29.0
480291706003,house_sup_sec_yes,17.0
480291707003,house_sup_sec_yes,110.0
480291707002,house_sup_sec_yes,24.0
480291212044,house_sup_sec_yes,0.0
480291212043,house_sup_sec_yes,14.0
480291404001,house_sup_sec_yes,14.0
480291404002,house_sup_sec_yes,27.0
480291504003,house_sup_sec_yes,61.0
480291215052,house_sup_sec_yes,8.0
480291403002,house_sup_sec_yes,28.0
480291403003,house_sup_sec_yes,43.0
480291520001,house_sup_sec_yes,71.0
480291701011,house_sup_sec_yes,28.0
480291701012,house_sup_sec_yes,72.0
480291718022,house_sup_sec_yes,0.0
480291718025,house_sup_sec_yes,68.0
480291718023,house_sup_sec_yes,29.0
480291408004,house_sup_sec_yes,48.0
480291408001,house_sup_sec_yes,8.0
480291408005,house_sup_sec_yes,13.0
480291408003,house_sup_sec_yes,24.0
480291408002,house_sup_sec_yes,49.0
480291505023,house_sup_sec_yes,51.0
480291505022,house_sup_sec_yes,16.0
480291505021,house_sup_sec_yes,86.0
480291507006,house_sup_sec_yes,0.0
480291507001,house_sup_sec_yes,12.0
480291507003,house_sup_sec_yes,68.0
480291601004,house_sup_sec_yes,79.0
480291601003,house_sup_sec_yes,173.0
480291601001,house_sup_sec_yes,40.0
480291813023,house_sup_sec_yes,16.0
480291809021,house_sup_sec_yes,27.0
480291809023,house_sup_sec_yes,11.0
480291809022,house_sup_sec_yes,38.0
480291809025,house_sup_sec_yes,44.0
480291810031,house_sup_sec_yes,33.0
480291810051,house_sup_sec_yes,66.0
480291810052,house_sup_sec_yes,8.0
480291815061,house_sup_sec_yes,0.0
480291815062,house_sup_sec_yes,43.0
480291817151,house_sup_sec_yes,0.0
480291203002,house_sup_sec_yes,0.0
480291203003,house_sup_sec_yes,0.0
480291203005,house_sup_sec_yes,15.0
480291205013,house_sup_sec_yes,13.0
480291205015,house_sup_sec_yes,55.0
480291205012,house_sup_sec_yes,86.0
480291205014,house_sup_sec_yes,31.0
480291211152,house_sup_sec_yes,12.0
480291211153,house_sup_sec_yes,10.0
480291211172,house_sup_sec_yes,0.0
480291211171,house_sup_sec_yes,19.0
480291720021,house_sup_sec_yes,0.0
480291817031,house_sup_sec_yes,15.0
480291817032,house_sup_sec_yes,0.0
480291803003,house_sup_sec_yes,83.0
480291803001,house_sup_sec_yes,7.0
480291803002,house_sup_sec_yes,64.0
480291817161,house_sup_sec_yes,36.0
480291910034,house_sup_sec_yes,13.0
480291910035,house_sup_sec_yes,0.0
480291910033,house_sup_sec_yes,58.0
480291910031,house_sup_sec_yes,84.0
480291910032,house_sup_sec_yes,95.0
480291214041,house_sup_sec_yes,26.0
480291214042,house_sup_sec_yes,143.0
480291214043,house_sup_sec_yes,59.0
480291313001,house_sup_sec_yes,0.0
480291313004,house_sup_sec_yes,66.0
480291316061,house_sup_sec_yes,27.0
480291103003,house_sup_sec_yes,9.0
480291103002,house_sup_sec_yes,13.0
480291201001,house_sup_sec_yes,0.0
480291206002,house_sup_sec_yes,0.0
480291206003,house_sup_sec_yes,0.0
480291206006,house_sup_sec_yes,0.0
480291206005,house_sup_sec_yes,0.0
480291517003,house_sup_sec_yes,54.0
480291517002,house_sup_sec_yes,38.0
480291517001,house_sup_sec_yes,0.0
480291607013,house_sup_sec_yes,40.0
480291306001,house_sup_sec_yes,121.0
480291306003,house_sup_sec_yes,87.0
480291306002,house_sup_sec_yes,29.0
480291402003,house_sup_sec_yes,16.0
480291402002,house_sup_sec_yes,47.0
480291402001,house_sup_sec_yes,0.0
480291402004,house_sup_sec_yes,18.0
480291309001,house_sup_sec_yes,119.0
480291717004,house_sup_sec_yes,98.0
480291719035,house_sup_sec_yes,43.0
480291717006,house_sup_sec_yes,0.0
480291719032,house_sup_sec_yes,0.0
480291719034,house_sup_sec_yes,22.0
480291509002,house_sup_sec_yes,56.0
480291509001,house_sup_sec_yes,36.0
480291509005,house_sup_sec_yes,33.0
480291705003,house_sup_sec_yes,11.0
480291705004,house_sup_sec_yes,28.0
480291705002,house_sup_sec_yes,28.0
480291805042,house_sup_sec_yes,58.0
480291205025,house_sup_sec_yes,63.0
480291205023,house_sup_sec_yes,25.0
480291205026,house_sup_sec_yes,30.0
480291205024,house_sup_sec_yes,11.0
480291207012,house_sup_sec_yes,58.0
480291207011,house_sup_sec_yes,0.0
480291302002,house_sup_sec_yes,23.0
480291410003,house_sup_sec_yes,39.0
480291410002,house_sup_sec_yes,120.0
480291516001,house_sup_sec_yes,16.0
480291516004,house_sup_sec_yes,14.0
480291516002,house_sup_sec_yes,57.0
480291817051,house_sup_sec_yes,59.0
480291817052,house_sup_sec_yes,68.0
480291512002,house_sup_sec_yes,128.0
480291606001,house_sup_sec_yes,57.0
480291606003,house_sup_sec_yes,50.0
480291419003,house_sup_sec_yes,21.0
480291419002,house_sup_sec_yes,36.0
480291515003,house_sup_sec_yes,26.0
480291515002,house_sup_sec_yes,25.0
480291603003,house_sup_sec_yes,45.0
480291603002,house_sup_sec_yes,64.0
480291603005,house_sup_sec_yes,74.0
480291612001,house_sup_sec_yes,32.0
480291612002,house_sup_sec_yes,105.0
480291804003,house_sup_sec_yes,23.0
480291804001,house_sup_sec_yes,40.0
480291807012,house_sup_sec_yes,41.0
480291811004,house_sup_sec_yes,2.0
480291811002,house_sup_sec_yes,18.0
480291811003,house_sup_sec_yes,37.0
480291909015,house_sup_sec_yes,0.0
480291909013,house_sup_sec_yes,0.0
480291809014,house_sup_sec_yes,10.0
480291813031,house_sup_sec_yes,27.0
480291815041,house_sup_sec_yes,74.0
480291815042,house_sup_sec_yes,0.0
480291816012,house_sup_sec_yes,80.0
480291906011,house_sup_sec_yes,5.0
480291818091,house_sup_sec_yes,17.0
480291818092,house_sup_sec_yes,36.0
480291818094,house_sup_sec_yes,0.0
480291906013,house_sup_sec_yes,34.0
480291910041,house_sup_sec_yes,56.0
480291910043,house_sup_sec_yes,0.0
480291813022,house_sup_sec_yes,27.0
480291212063,house_sup_sec_yes,48.0
480291212061,house_sup_sec_yes,31.0
480291212065,house_sup_sec_yes,25.0
480291212062,house_sup_sec_yes,21.0
480291214022,house_sup_sec_yes,27.0
480291214021,house_sup_sec_yes,99.0
480291218031,house_sup_sec_yes,14.0
480291218032,house_sup_sec_yes,6.0
480291218033,house_sup_sec_yes,37.0
480291218041,house_sup_sec_yes,42.0
480291218042,house_sup_sec_yes,32.0
480291218043,house_sup_sec_yes,40.0
480291308001,house_sup_sec_yes,143.0
480291308004,house_sup_sec_yes,49.0
480291308002,house_sup_sec_yes,33.0
480291308003,house_sup_sec_yes,5.0
480291311003,house_sup_sec_yes,43.0
480291311002,house_sup_sec_yes,13.0
480291602002,house_sup_sec_yes,40.0
480291817134,house_sup_sec_yes,79.0
480291817132,house_sup_sec_yes,0.0
480291817133,house_sup_sec_yes,51.0
