block_group,commute_method,count_commute_method
480291710001,commute_car,310.0
480291710002,commute_car,168.0
480291717001,commute_car,890.0
480291717003,commute_car,376.0
480291215013,commute_car,1351.0
480291215011,commute_car,1269.0
480291215074,commute_car,636.0
480291215071,commute_car,395.0
480291215072,commute_car,405.0
480291312002,commute_car,549.0
480291401002,commute_car,250.0
480291401001,commute_car,284.0
480291404004,commute_car,225.0
480291101002,commute_car,271.0
480291209022,commute_car,907.0
480291209021,commute_car,1031.0
480291214033,commute_car,886.0
480291214031,commute_car,775.0
480291216042,commute_car,624.0
480291216043,commute_car,405.0
480291306004,commute_car,293.0
480291207022,commute_car,323.0
480291213003,commute_car,286.0
480291213001,commute_car,1413.0
480291703004,commute_car,234.0
480291703002,commute_car,127.0
480291703006,commute_car,312.0
480291703005,commute_car,652.0
480291703003,commute_car,176.0
480291704024,commute_car,150.0
480291704021,commute_car,651.0
480291706001,commute_car,596.0
480291706004,commute_car,488.0
480291706003,commute_car,556.0
480291707003,commute_car,794.0
480291707002,commute_car,418.0
480291212044,commute_car,454.0
480291212043,commute_car,386.0
480291404001,commute_car,341.0
480291404002,commute_car,560.0
480291504003,commute_car,1113.0
480291215052,commute_car,331.0
480291403002,commute_car,372.0
480291403003,commute_car,357.0
480291520001,commute_car,928.0
480291701011,commute_car,282.0
480291701012,commute_car,534.0
480291718022,commute_car,569.0
480291718025,commute_car,296.0
480291718023,commute_car,550.0
480291408004,commute_car,205.0
480291408001,commute_car,645.0
480291408005,commute_car,691.0
480291408003,commute_car,215.0
480291408002,commute_car,558.0
480291505023,commute_car,374.0
480291505022,commute_car,604.0
480291505021,commute_car,465.0
480291507006,commute_car,122.0
480291507001,commute_car,255.0
480291507003,commute_car,740.0
480291601004,commute_car,712.0
480291601003,commute_car,391.0
480291601001,commute_car,363.0
480291813023,commute_car,1098.0
480291809021,commute_car,359.0
480291809023,commute_car,744.0
480291809022,commute_car,743.0
480291809025,commute_car,955.0
480291810031,commute_car,863.0
480291810051,commute_car,792.0
480291810052,commute_car,317.0
480291815061,commute_car,210.0
480291815062,commute_car,612.0
480291817151,commute_car,520.0
480291203002,commute_car,309.0
480291203003,commute_car,628.0
480291203005,commute_car,396.0
480291205013,commute_car,638.0
480291205015,commute_car,558.0
480291205012,commute_car,611.0
480291205014,commute_car,633.0
480291211152,commute_car,1379.0
480291211153,commute_car,842.0
480291211172,commute_car,691.0
480291211171,commute_car,871.0
480291720021,commute_car,1878.0
480291817031,commute_car,1511.0
480291817032,commute_car,1192.0
480291803003,commute_car,394.0
480291803001,commute_car,461.0
480291803002,commute_car,572.0
480291817161,commute_car,1855.0
480291910034,commute_car,391.0
480291910035,commute_car,372.0
480291910033,commute_car,237.0
480291910031,commute_car,279.0
480291910032,commute_car,1757.0
480291214041,commute_car,915.0
480291214042,commute_car,522.0
480291214043,commute_car,424.0
480291313001,commute_car,330.0
480291313004,commute_car,257.0
480291316061,commute_car,792.0
480291103003,commute_car,126.0
480291103002,commute_car,382.0
480291201001,commute_car,1224.0
480291206002,commute_car,443.0
480291206003,commute_car,417.0
480291206006,commute_car,199.0
480291206005,commute_car,301.0
480291517003,commute_car,618.0
480291517002,commute_car,712.0
480291517001,commute_car,941.0
480291607013,commute_car,425.0
480291306001,commute_car,176.0
480291306003,commute_car,281.0
480291306002,commute_car,217.0
480291402003,commute_car,321.0
480291402002,commute_car,311.0
480291402001,commute_car,246.0
480291402004,commute_car,348.0
480291309001,commute_car,865.0
480291717004,commute_car,670.0
480291719035,commute_car,906.0
480291717006,commute_car,320.0
480291719032,commute_car,302.0
480291719034,commute_car,400.0
480291509002,commute_car,308.0
480291509001,commute_car,607.0
480291509005,commute_car,805.0
480291705003,commute_car,362.0
480291705004,commute_car,341.0
480291705002,commute_car,583.0
480291805042,commute_car,790.0
480291205025,commute_car,292.0
480291205023,commute_car,146.0
480291205026,commute_car,363.0
480291205024,commute_car,270.0
480291207012,commute_car,437.0
480291207011,commute_car,418.0
480291302002,commute_car,123.0
480291410003,commute_car,545.0
480291410002,commute_car,317.0
480291516001,commute_car,1013.0
480291516004,commute_car,524.0
480291516002,commute_car,261.0
480291817051,commute_car,886.0
480291817052,commute_car,778.0
480291512002,commute_car,1154.0
480291606001,commute_car,527.0
480291606003,commute_car,714.0
480291419003,commute_car,283.0
480291419002,commute_car,1034.0
480291515003,commute_car,494.0
480291515002,commute_car,413.0
480291603003,commute_car,248.0
480291603002,commute_car,352.0
480291603005,commute_car,680.0
480291612001,commute_car,357.0
480291612002,commute_car,778.0
480291804003,commute_car,347.0
480291804001,commute_car,894.0
480291807012,commute_car,1392.0
480291811004,commute_car,457.0
480291811002,commute_car,454.0
480291811003,commute_car,1114.0
480291909015,commute_car,649.0
480291909013,commute_car,117.0
480291809014,commute_car,497.0
480291813031,commute_car,860.0
480291815041,commute_car,758.0
480291815042,commute_car,1546.0
480291816012,commute_car,841.0
480291906011,commute_car,867.0
480291818091,commute_car,492.0
480291818092,commute_car,1028.0
480291818094,commute_car,640.0
480291906013,commute_car,365.0
480291910041,commute_car,563.0
480291910043,commute_car,435.0
480291813022,commute_car,1160.0
480291212063,commute_car,346.0
480291212061,commute_car,546.0
480291212065,commute_car,983.0
480291212062,commute_car,580.0
480291214022,commute_car,611.0
480291214021,commute_car,2813.0
480291218031,commute_car,721.0
480291218032,commute_car,304.0
480291218033,commute_car,1097.0
480291218041,commute_car,1162.0
480291218042,commute_car,1218.0
480291218043,commute_car,672.0
