block_group,gender,count_gender
480291214033,sex_age_tot_f,824.0
480291214031,sex_age_tot_f,1473.0
480291216042,sex_age_tot_f,738.0
480291216043,sex_age_tot_f,434.0
480291306004,sex_age_tot_f,696.0
480291207022,sex_age_tot_f,595.0
480291213003,sex_age_tot_f,409.0
480291213001,sex_age_tot_f,1450.0
480291703004,sex_age_tot_f,300.0
480291703002,sex_age_tot_f,131.0
480291703006,sex_age_tot_f,399.0
480291703005,sex_age_tot_f,613.0
480291703003,sex_age_tot_f,546.0
480291704024,sex_age_tot_f,295.0
480291704021,sex_age_tot_f,1119.0
480291706001,sex_age_tot_f,667.0
480291706004,sex_age_tot_f,446.0
480291706003,sex_age_tot_f,492.0
480291707003,sex_age_tot_f,1426.0
480291707002,sex_age_tot_f,560.0
480291212044,sex_age_tot_f,668.0
480291212043,sex_age_tot_f,592.0
480291404001,sex_age_tot_f,496.0
480291404002,sex_age_tot_f,557.0
480291504003,sex_age_tot_f,1570.0
480291215052,sex_age_tot_f,384.0
480291403002,sex_age_tot_f,644.0
480291403003,sex_age_tot_f,659.0
480291520001,sex_age_tot_f,1336.0
480291701011,sex_age_tot_f,421.0
480291701012,sex_age_tot_f,710.0
480291718022,sex_age_tot_f,534.0
480291718025,sex_age_tot_f,353.0
480291718023,sex_age_tot_f,803.0
480291408004,sex_age_tot_f,487.0
480291408001,sex_age_tot_f,692.0
480291408005,sex_age_tot_f,665.0
480291408003,sex_age_tot_f,252.0
480291408002,sex_age_tot_f,647.0
480291505023,sex_age_tot_f,439.0
480291505022,sex_age_tot_f,595.0
480291505021,sex_age_tot_f,575.0
480291507006,sex_age_tot_f,215.0
480291507001,sex_age_tot_f,440.0
480291507003,sex_age_tot_f,680.0
480291601004,sex_age_tot_f,1125.0
480291601003,sex_age_tot_f,869.0
480291601001,sex_age_tot_f,593.0
480291813023,sex_age_tot_f,1082.0
480291809021,sex_age_tot_f,510.0
480291809023,sex_age_tot_f,862.0
480291809022,sex_age_tot_f,843.0
480291809025,sex_age_tot_f,1216.0
480291810031,sex_age_tot_f,932.0
480291810051,sex_age_tot_f,797.0
480291810052,sex_age_tot_f,289.0
480291815061,sex_age_tot_f,248.0
480291815062,sex_age_tot_f,806.0
480291817151,sex_age_tot_f,465.0
480291203002,sex_age_tot_f,328.0
480291203003,sex_age_tot_f,774.0
480291203005,sex_age_tot_f,511.0
480291205013,sex_age_tot_f,766.0
480291205015,sex_age_tot_f,707.0
480291205012,sex_age_tot_f,804.0
480291205014,sex_age_tot_f,693.0
480291211152,sex_age_tot_f,1451.0
480291211153,sex_age_tot_f,744.0
480291211172,sex_age_tot_f,672.0
480291211171,sex_age_tot_f,806.0
480291720021,sex_age_tot_f,2626.0
480291817031,sex_age_tot_f,1424.0
480291817032,sex_age_tot_f,1427.0
480291803003,sex_age_tot_f,696.0
480291803001,sex_age_tot_f,500.0
480291803002,sex_age_tot_f,734.0
480291817161,sex_age_tot_f,1465.0
480291910034,sex_age_tot_f,474.0
480291910035,sex_age_tot_f,447.0
480291910033,sex_age_tot_f,642.0
480291910031,sex_age_tot_f,755.0
480291910032,sex_age_tot_f,2070.0
480291214041,sex_age_tot_f,894.0
480291214042,sex_age_tot_f,1079.0
480291214043,sex_age_tot_f,836.0
480291313001,sex_age_tot_f,637.0
480291313004,sex_age_tot_f,526.0
480291316061,sex_age_tot_f,1245.0
480291103003,sex_age_tot_f,170.0
480291103002,sex_age_tot_f,489.0
480291201001,sex_age_tot_f,2505.0
480291206002,sex_age_tot_f,411.0
480291206003,sex_age_tot_f,309.0
480291206006,sex_age_tot_f,252.0
480291206005,sex_age_tot_f,337.0
480291517003,sex_age_tot_f,1022.0
480291517002,sex_age_tot_f,848.0
480291517001,sex_age_tot_f,1042.0
480291607013,sex_age_tot_f,424.0
480291306001,sex_age_tot_f,368.0
480291306003,sex_age_tot_f,399.0
480291306002,sex_age_tot_f,504.0
480291402003,sex_age_tot_f,319.0
480291402002,sex_age_tot_f,377.0
480291402001,sex_age_tot_f,338.0
480291402004,sex_age_tot_f,355.0
480291309001,sex_age_tot_f,1469.0
480291717004,sex_age_tot_f,1398.0
480291719035,sex_age_tot_f,848.0
480291717006,sex_age_tot_f,687.0
480291719032,sex_age_tot_f,428.0
480291719034,sex_age_tot_f,745.0
480291509002,sex_age_tot_f,508.0
480291509001,sex_age_tot_f,857.0
480291509005,sex_age_tot_f,805.0
480291705003,sex_age_tot_f,677.0
480291705004,sex_age_tot_f,433.0
480291705002,sex_age_tot_f,625.0
480291805042,sex_age_tot_f,1560.0
480291205025,sex_age_tot_f,535.0
480291205023,sex_age_tot_f,214.0
480291205026,sex_age_tot_f,493.0
480291205024,sex_age_tot_f,396.0
480291207012,sex_age_tot_f,859.0
480291207011,sex_age_tot_f,676.0
480291302002,sex_age_tot_f,390.0
480291410003,sex_age_tot_f,918.0
480291410002,sex_age_tot_f,586.0
480291516001,sex_age_tot_f,751.0
480291516004,sex_age_tot_f,844.0
480291516002,sex_age_tot_f,405.0
480291817051,sex_age_tot_f,1127.0
480291817052,sex_age_tot_f,881.0
480291512002,sex_age_tot_f,1580.0
480291606001,sex_age_tot_f,609.0
480291606003,sex_age_tot_f,1440.0
480291419003,sex_age_tot_f,713.0
480291419002,sex_age_tot_f,827.0
480291515003,sex_age_tot_f,503.0
480291515002,sex_age_tot_f,446.0
480291603003,sex_age_tot_f,385.0
480291603002,sex_age_tot_f,582.0
480291603005,sex_age_tot_f,810.0
480291612001,sex_age_tot_f,350.0
480291612002,sex_age_tot_f,1182.0
480291804003,sex_age_tot_f,357.0
480291804001,sex_age_tot_f,916.0
480291807012,sex_age_tot_f,1394.0
480291811004,sex_age_tot_f,358.0
480291811002,sex_age_tot_f,489.0
480291811003,sex_age_tot_f,1620.0
480291909015,sex_age_tot_f,501.0
480291909013,sex_age_tot_f,231.0
480291809014,sex_age_tot_f,460.0
480291813031,sex_age_tot_f,942.0
480291815041,sex_age_tot_f,1256.0
480291815042,sex_age_tot_f,1326.0
480291816012,sex_age_tot_f,1178.0
480291906011,sex_age_tot_f,869.0
480291818091,sex_age_tot_f,571.0
480291818092,sex_age_tot_f,1114.0
480291818094,sex_age_tot_f,853.0
480291906013,sex_age_tot_f,424.0
480291910041,sex_age_tot_f,977.0
480291910043,sex_age_tot_f,384.0
480291813022,sex_age_tot_f,1163.0
480291212063,sex_age_tot_f,429.0
480291212061,sex_age_tot_f,485.0
480291212065,sex_age_tot_f,1192.0
480291212062,sex_age_tot_f,610.0
480291214022,sex_age_tot_f,601.0
480291214021,sex_age_tot_f,3117.0
480291218031,sex_age_tot_f,800.0
480291218032,sex_age_tot_f,364.0
480291218033,sex_age_tot_f,1230.0
480291218041,sex_age_tot_f,1100.0
480291218042,sex_age_tot_f,1548.0
480291218043,sex_age_tot_f,916.0
480291308001,sex_age_tot_f,1699.0
480291308004,sex_age_tot_f,732.0
480291308002,sex_age_tot_f,458.0
480291308003,sex_age_tot_f,269.0
480291311003,sex_age_tot_f,433.0
480291311002,sex_age_tot_f,473.0
480291602002,sex_age_tot_f,611.0
480291817134,sex_age_tot_f,861.0
480291817132,sex_age_tot_f,890.0
480291817133,sex_age_tot_f,876.0
480291815054,sex_age_tot_f,782.0
480291815053,sex_age_tot_f,503.0
480291815051,sex_age_tot_f,471.0
480291817042,sex_age_tot_f,828.0
480291817044,sex_age_tot_f,624.0
480291817111,sex_age_tot_f,1805.0
480291907002,sex_age_tot_f,231.0
480291907003,sex_age_tot_f,665.0
480291607011,sex_age_tot_f,823.0
480291607012,sex_age_tot_f,800.0
480291718011,sex_age_tot_f,620.0
480291718013,sex_age_tot_f,631.0
480291718014,sex_age_tot_f,470.0
480291718012,sex_age_tot_f,1086.0
480291802013,sex_age_tot_f,895.0
480291802012,sex_age_tot_f,433.0
480291802014,sex_age_tot_f,539.0
480291802011,sex_age_tot_f,377.0
480291812001,sex_age_tot_f,331.0
480291812004,sex_age_tot_f,571.0
480291812002,sex_age_tot_f,375.0
480291812005,sex_age_tot_f,626.0
480291514004,sex_age_tot_f,368.0
480291511003,sex_age_tot_f,404.0
480291511001,sex_age_tot_f,434.0
480291514001,sex_age_tot_f,417.0
480291514002,sex_age_tot_f,694.0
480291905012,sex_age_tot_f,800.0
480291905013,sex_age_tot_f,569.0
480291905011,sex_age_tot_f,427.0
480291908001,sex_age_tot_f,439.0
480291908002,sex_age_tot_f,582.0
480291909011,sex_age_tot_f,747.0
480291909012,sex_age_tot_f,1397.0
480291909021,sex_age_tot_f,922.0
480291909023,sex_age_tot_f,270.0
480291810012,sex_age_tot_f,1042.0
480291810042,sex_age_tot_f,1302.0
480291810041,sex_age_tot_f,1294.0
480291901004,sex_age_tot_f,494.0
480291901003,sex_age_tot_f,569.0
480291901002,sex_age_tot_f,444.0
480291719021,sex_age_tot_f,1071.0
480291311001,sex_age_tot_f,375.0
480291203008,sex_age_tot_f,303.0
480291203007,sex_age_tot_f,350.0
480291501001,sex_age_tot_f,552.0
480291501004,sex_age_tot_f,673.0
480291506004,sex_age_tot_f,618.0
480291506003,sex_age_tot_f,480.0
480291511007,sex_age_tot_f,561.0
480291511005,sex_age_tot_f,491.0
480291511004,sex_age_tot_f,762.0
480291918042,sex_age_tot_f,1411.0
480291918041,sex_age_tot_f,868.0
480291210004,sex_age_tot_f,579.0
480291210003,sex_age_tot_f,1662.0
480291210005,sex_age_tot_f,753.0
480291210006,sex_age_tot_f,691.0
480291211102,sex_age_tot_f,809.0
480291215062,sex_age_tot_f,394.0
480291215061,sex_age_tot_f,613.0
480291305001,sex_age_tot_f,309.0
480291305003,sex_age_tot_f,1218.0
480291305002,sex_age_tot_f,373.0
480291305004,sex_age_tot_f,582.0
480291904003,sex_age_tot_f,373.0
480291211081,sex_age_tot_f,744.0
480291211083,sex_age_tot_f,988.0
480291211084,sex_age_tot_f,433.0
480291207015,sex_age_tot_f,619.0
480291215042,sex_age_tot_f,295.0
480291215041,sex_age_tot_f,649.0
480291503001,sex_age_tot_f,556.0
480291503004,sex_age_tot_f,707.0
480291503003,sex_age_tot_f,487.0
480291602003,sex_age_tot_f,505.0
480291508002,sex_age_tot_f,403.0
480291508003,sex_age_tot_f,348.0
