block_group,m_biz_type,count_biz_type
480291212043,workers_m_profit,180.0
480291404001,workers_m_profit,129.0
480291404002,workers_m_profit,278.0
480291504003,workers_m_profit,625.0
480291215052,workers_m_profit,108.0
480291403002,workers_m_profit,161.0
480291403003,workers_m_profit,191.0
480291520001,workers_m_profit,495.0
480291701011,workers_m_profit,216.0
480291701012,workers_m_profit,320.0
480291718022,workers_m_profit,295.0
480291718025,workers_m_profit,125.0
480291718023,workers_m_profit,437.0
480291408004,workers_m_profit,84.0
480291408001,workers_m_profit,243.0
480291408005,workers_m_profit,362.0
480291408003,workers_m_profit,40.0
480291408002,workers_m_profit,321.0
480291505023,workers_m_profit,164.0
480291505022,workers_m_profit,335.0
480291505021,workers_m_profit,206.0
480291507006,workers_m_profit,24.0
480291507001,workers_m_profit,127.0
480291507003,workers_m_profit,370.0
480291601004,workers_m_profit,436.0
480291601003,workers_m_profit,304.0
480291601001,workers_m_profit,241.0
480291813023,workers_m_profit,475.0
480291809021,workers_m_profit,203.0
480291809023,workers_m_profit,275.0
480291809022,workers_m_profit,85.0
480291809025,workers_m_profit,297.0
480291810031,workers_m_profit,418.0
480291810051,workers_m_profit,553.0
480291810052,workers_m_profit,142.0
480291815061,workers_m_profit,52.0
480291815062,workers_m_profit,325.0
480291817151,workers_m_profit,278.0
480291203002,workers_m_profit,195.0
480291203003,workers_m_profit,102.0
480291203005,workers_m_profit,126.0
480291205013,workers_m_profit,282.0
480291205015,workers_m_profit,276.0
480291205012,workers_m_profit,241.0
480291205014,workers_m_profit,437.0
480291211152,workers_m_profit,521.0
480291211153,workers_m_profit,322.0
480291211172,workers_m_profit,278.0
480291211171,workers_m_profit,360.0
480291720021,workers_m_profit,765.0
480291817031,workers_m_profit,822.0
480291817032,workers_m_profit,537.0
480291803003,workers_m_profit,232.0
480291803001,workers_m_profit,243.0
480291803002,workers_m_profit,265.0
480291817161,workers_m_profit,1172.0
480291910034,workers_m_profit,199.0
480291910035,workers_m_profit,168.0
480291910033,workers_m_profit,133.0
480291910031,workers_m_profit,37.0
480291910032,workers_m_profit,1094.0
480291214041,workers_m_profit,520.0
480291214042,workers_m_profit,245.0
480291214043,workers_m_profit,290.0
480291313001,workers_m_profit,72.0
480291313004,workers_m_profit,33.0
480291316061,workers_m_profit,392.0
480291103003,workers_m_profit,60.0
480291103002,workers_m_profit,169.0
480291201001,workers_m_profit,107.0
480291206002,workers_m_profit,80.0
480291206003,workers_m_profit,213.0
480291206006,workers_m_profit,64.0
480291206005,workers_m_profit,231.0
480291517003,workers_m_profit,227.0
480291517002,workers_m_profit,350.0
480291517001,workers_m_profit,406.0
480291607013,workers_m_profit,136.0
480291306001,workers_m_profit,59.0
480291306003,workers_m_profit,324.0
480291306002,workers_m_profit,64.0
480291402003,workers_m_profit,166.0
480291402002,workers_m_profit,168.0
480291402001,workers_m_profit,79.0
480291402004,workers_m_profit,168.0
480291309001,workers_m_profit,272.0
480291717004,workers_m_profit,414.0
480291719035,workers_m_profit,248.0
480291717006,workers_m_profit,187.0
480291719032,workers_m_profit,125.0
480291719034,workers_m_profit,134.0
480291509002,workers_m_profit,105.0
480291509001,workers_m_profit,258.0
480291509005,workers_m_profit,371.0
480291705003,workers_m_profit,219.0
480291705004,workers_m_profit,245.0
480291705002,workers_m_profit,242.0
480291805042,workers_m_profit,353.0
480291205025,workers_m_profit,125.0
480291205023,workers_m_profit,126.0
480291205026,workers_m_profit,149.0
480291205024,workers_m_profit,187.0
480291207012,workers_m_profit,231.0
480291207011,workers_m_profit,157.0
480291302002,workers_m_profit,109.0
480291410003,workers_m_profit,244.0
480291410002,workers_m_profit,241.0
480291516001,workers_m_profit,819.0
480291516004,workers_m_profit,79.0
480291516002,workers_m_profit,199.0
480291817051,workers_m_profit,442.0
480291817052,workers_m_profit,376.0
480291512002,workers_m_profit,648.0
480291606001,workers_m_profit,262.0
480291606003,workers_m_profit,343.0
480291419003,workers_m_profit,214.0
480291419002,workers_m_profit,328.0
480291515003,workers_m_profit,207.0
480291515002,workers_m_profit,203.0
480291603003,workers_m_profit,64.0
480291603002,workers_m_profit,169.0
480291603005,workers_m_profit,262.0
480291612001,workers_m_profit,150.0
480291612002,workers_m_profit,261.0
480291804003,workers_m_profit,178.0
480291804001,workers_m_profit,396.0
480291807012,workers_m_profit,626.0
480291811004,workers_m_profit,195.0
480291811002,workers_m_profit,152.0
480291811003,workers_m_profit,290.0
480291909015,workers_m_profit,293.0
480291909013,workers_m_profit,18.0
480291809014,workers_m_profit,320.0
480291813031,workers_m_profit,561.0
480291815041,workers_m_profit,202.0
480291815042,workers_m_profit,493.0
480291816012,workers_m_profit,312.0
480291906011,workers_m_profit,401.0
480291818091,workers_m_profit,246.0
480291818092,workers_m_profit,421.0
480291818094,workers_m_profit,290.0
480291906013,workers_m_profit,286.0
480291910041,workers_m_profit,257.0
480291910043,workers_m_profit,241.0
480291813022,workers_m_profit,637.0
480291212063,workers_m_profit,94.0
480291212061,workers_m_profit,257.0
480291212065,workers_m_profit,426.0
